team_a_id,team_b_id,h2h_matches,h2h_avg_runs,h2h_win_rate
0,Desert Vipers,6.0,145.5,0.33
0,Dubai Capitals,7.0,160.86,0.14
0,Gulf Giants,5.0,148.0,0.4
0,MI Emirates,6.0,159.17,0.17
0,Sharjah Warriors,4.0,113.75,0.5
0,Sharjah Warriorz,2.0,160.0,0.5
1,Badureliya Sports Club,1.0,176.0,1.0
1,Colombo Cricket Club,1.0,98.0,0.0
1,Kurunegala Youth Cricket Club,1.0,82.0,1.0
1,Moors Sports Club,1.0,111.0,0.0
1,Negombo Cricket Club,1.0,135.0,0.0
1,Nondescripts Cricket Club,1.0,115.0,0.0
1,Panadura Sports Club,1.0,99.0,0.0
1,Sinhalese Sports Club,1.0,178.0,1.0
2,Bahamas,3.0,109.0,0.33
2,Belize,2.0,136.0,1.0
2,Bermuda,4.0,104.5,0.0
2,Brazil,6.0,50.83,0.17
2,Canada,5.0,79.8,0.2
2,Cayman Islands,2.0,109.5,0.0
2,Chile,3.0,228.67,1.0
2,Mexico,3.0,116.33,1.0
2,Panama,2.0,90.5,0.5
2,Suriname,1.0,124.0,1.0
2,United States of America,6.0,83.67,0.0
3,Bangladesh,16.0,125.88,0.75
3,Barbados,1.0,68.0,1.0
3,England,60.0,148.38,0.52
3,India,59.0,153.95,0.53
3,Ireland,9.0,136.33,1.0
3,Namibia,1.0,74.0,1.0
3,New Zealand,47.0,142.02,0.7
3,Oman,1.0,164.0,1.0
3,Pakistan,44.0,130.14,0.64
3,Scotland,4.0,172.75,1.0
3,South Africa,36.0,155.39,0.69
3,Sri Lanka,35.0,145.34,0.66
3,United Arab Emirates,1.0,119.0,1.0
3,West Indies,39.0,155.87,0.67
3,Zimbabwe,3.0,173.67,0.67
4,Belgium,5.0,174.4,1.0
4,Czech Republic,7.0,149.14,0.86
4,Denmark,2.0,103.5,0.0
4,France,2.0,145.5,1.0
4,Germany,11.0,89.36,0.18
4,Gibraltar,1.0,134.0,1.0
4,Guernsey,1.0,141.0,1.0
4,Hungary,5.0,166.2,0.8
4,Ireland,1.0,98.0,0.0
4,Israel,1.0,110.0,1.0
4,Jersey,1.0,104.0,0.0
4,Luxembourg,7.0,149.0,0.71
4,Malta,2.0,160.5,1.0
4,Norway,4.0,118.75,0.75
4,Portugal,1.0,128.0,1.0
4,Romania,3.0,160.0,0.33
4,Scotland,1.0,66.0,0.0
4,Slovenia,4.0,176.5,1.0
4,Sweden,3.0,132.0,1.0
4,Switzerland,5.0,161.4,0.6
5,Ace Capital Cricket Club,1.0,170.0,0.0
5,Burgher Recreation Club,1.0,80.0,0.0
5,Chilaw Marians Cricket Club,1.0,110.0,0.0
5,Moors Sports Club,2.0,107.5,0.0
5,Nondescripts Cricket Club,1.0,149.0,0.0
5,Panadura Sports Club,1.0,145.0,0.0
6,Argentina,3.0,104.67,0.67
6,Belize,1.0,117.0,1.0
6,Bermuda,8.0,100.0,0.0
6,Brazil,1.0,89.0,1.0
6,Canada,4.0,65.5,0.0
6,Cayman Islands,5.0,112.2,0.0
6,Mexico,1.0,95.0,1.0
6,Panama,3.0,109.0,0.67
6,Suriname,1.0,97.0,1.0
6,United States of America,2.0,79.0,0.0
7,Bhutan,2.0,119.0,0.5
7,Cambodia,2.0,130.5,1.0
7,Canada,3.0,163.33,0.33
7,Germany,2.0,157.0,1.0
7,Hong Kong,8.0,94.62,0.38
7,Indonesia,6.0,115.5,0.67
7,Ireland,1.0,137.0,0.0
7,Kuwait,15.0,126.93,0.27
7,Malawi,7.0,131.71,1.0
7,Malaysia,9.0,117.33,0.56
7,Maldives,2.0,117.5,1.0
7,Nepal,4.0,40.5,0.0
7,Oman,9.0,118.67,0.22
7,Philippines,1.0,191.0,1.0
7,Qatar,14.0,120.29,0.29
7,Saudi Arabia,9.0,158.78,0.67
7,Singapore,5.0,121.0,0.8
7,Tanzania,4.0,147.5,0.5
7,Thailand,1.0,102.0,0.0
7,Uganda,2.0,93.0,0.5
7,United Arab Emirates,9.0,121.44,0.22
7,Vanuatu,1.0,166.0,1.0
8,Australia,16.0,117.69,0.25
8,England,7.0,121.43,0.43
8,Hong Kong,3.0,138.0,0.67
8,India,33.0,121.94,0.12
8,Ireland,19.0,129.58,0.53
8,Kenya,2.0,132.0,1.0
8,Malaysia,5.0,123.8,1.0
8,Maldives,1.0,255.0,1.0
8,Nepal,3.0,96.33,1.0
8,Netherlands,9.0,131.0,0.78
8,New Zealand,24.0,115.17,0.17
8,Oman,2.0,166.5,1.0
8,Pakistan,37.0,119.76,0.24
8,Papua New Guinea,4.0,117.5,1.0
8,Scotland,6.0,106.33,0.83
8,South Africa,19.0,105.95,0.05
8,Sri Lanka,34.0,134.53,0.35
8,Thailand,6.0,99.67,1.0
8,United Arab Emirates,7.0,151.14,0.71
8,United States of America,5.0,121.0,0.6
8,West Indies,26.0,130.92,0.31
8,Zimbabwe,27.0,148.96,0.7
9,Australia,1.0,64.0,0.0
9,Guyana,2.0,86.0,1.0
9,India,1.0,62.0,0.0
9,Jamaica,2.0,112.5,1.0
9,Leeward Islands,1.0,61.0,1.0
9,Pakistan,1.0,144.0,1.0
9,Windward Islands,1.0,89.0,1.0
10,Austria,5.0,167.6,0.0
10,Croatia,1.0,100.0,0.0
10,Czech Republic,1.0,161.0,1.0
10,Denmark,1.0,161.0,1.0
10,France,5.0,110.2,0.4
10,Germany,2.0,156.0,0.0
10,Gibraltar,1.0,142.0,1.0
10,Hungary,1.0,123.0,1.0
10,Isle of Man,1.0,122.0,1.0
10,Italy,1.0,141.0,0.0
10,Jersey,1.0,90.0,0.0
10,Luxembourg,2.0,174.5,1.0
10,Malta,10.0,136.2,0.8
10,Portugal,4.0,138.25,0.25
10,Serbia,1.0,179.0,1.0
10,Spain,1.0,149.0,1.0
10,Switzerland,5.0,110.2,0.2
11,Argentina,2.0,104.0,0.0
11,Bahamas,1.0,114.0,0.0
11,Bermuda,2.0,68.5,0.0
11,Brazil,1.0,121.0,1.0
11,Canada,3.0,54.33,0.0
11,Cayman Islands,1.0,107.0,0.0
11,Panama,3.0,122.0,0.67
11,Suriname,1.0,98.0,0.0
11,United States of America,3.0,66.33,0.0
12,Argentina,4.0,169.5,1.0
12,Bahamas,8.0,132.88,1.0
12,Belize,2.0,106.0,1.0
12,Brazil,1.0,149.0,1.0
12,Canada,5.0,111.2,0.2
12,Cayman Islands,10.0,141.8,0.9
12,Denmark,1.0,112.0,1.0
12,Kenya,2.0,108.5,0.0
12,Mexico,1.0,97.0,1.0
12,Namibia,1.0,106.0,0.0
12,Nepal,1.0,127.0,0.0
12,Netherlands,1.0,114.0,0.0
12,Panama,4.0,109.25,1.0
12,Papua New Guinea,2.0,116.0,0.0
12,Scotland,3.0,135.33,0.33
