team_id,team_form_avg_runs,team_form_win_rate,team_balance,team_form_score
0,165.4,0.2,0.68,1.23
1,132.38,0.5,1.04,0.99
2,53.8,0.0,0.18,0.4
3,128.0,0.8,1.14,0.95
4,181.2,0.8,1.16,1.35
5,132.38,0.5,0.19,0.99
6,105.2,0.6,0.38,0.78
7,132.6,0.2,0.56,0.99
8,78.6,0.6,1.54,0.59
9,90.2,1.0,0.49,0.67
10,132.38,0.5,0.33,0.99
11,90.8,0.0,0.26,0.68
12,152.4,1.0,0.59,1.13
13,90.4,0.2,0.35,0.67
14,185.6,0.4,1.41,1.38
15,132.38,0.5,0.66,0.99
16,147.0,0.4,1.05,1.09
17,134.2,0.4,0.7,1.0
18,68.0,0.4,0.29,0.51
19,182.4,0.4,1.35,1.36
20,98.2,0.4,0.25,0.73
21,133.2,0.2,0.61,0.99
22,57.6,0.0,0.37,0.43
23,114.4,0.6,0.23,0.85
24,159.4,0.4,0.55,1.19
25,112.6,0.8,0.58,0.84
26,112.2,0.4,0.51,0.84
27,132.38,0.5,0.04,0.99
28,64.6,0.6,0.31,0.48
29,125.8,0.6,1.21,0.94
30,131.4,0.6,0.71,0.98
31,76.8,0.2,0.69,0.57
32,71.0,0.2,0.05,0.53
33,79.2,0.4,0.54,0.59
34,153.2,0.6,0.88,1.14
35,132.38,0.5,0.37,0.99
36,102.8,0.2,0.0,0.77
37,168.4,0.2,1.35,1.25
38,130.6,0.6,0.57,0.97
39,131.8,0.2,0.64,0.98
40,173.4,0.6,1.15,1.29
41,158.6,0.6,0.62,1.18
42,152.0,0.6,0.82,1.13
43,160.6,0.4,0.7,1.2
44,105.6,0.0,0.46,0.79
45,87.4,0.2,1.01,0.65
46,91.4,0.4,0.26,0.68
47,132.38,0.5,0.6,0.99
48,80.6,0.2,0.78,0.6
49,132.38,0.5,0.14,0.99
50,148.2,0.4,0.98,1.1
51,118.8,0.4,0.63,0.88
52,195.4,0.8,1.45,1.46
53,146.0,0.6,0.59,1.09
54,140.8,0.2,0.87,1.05
55,116.0,0.4,0.74,0.86
56,121.6,0.4,0.66,0.91
57,150.0,0.6,0.71,1.12
58,92.4,0.4,0.43,0.69
59,156.8,0.6,1.04,1.17
60,83.6,0.8,0.65,0.62
61,138.2,0.4,0.93,1.03
62,132.38,0.5,0.8,0.99
63,137.6,0.0,0.8,1.02
64,128.0,0.8,1.41,0.95
65,82.0,0.4,0.16,0.61
66,132.38,0.5,0.44,0.99
67,163.6,0.6,1.03,1.22
68,182.2,0.6,1.18,1.36
69,132.38,0.5,0.42,0.99
70,114.6,0.2,0.53,0.85
71,132.38,0.5,1.04,0.99
72,132.38,0.5,0.0,0.99
73,118.0,0.8,0.84,0.88
74,115.0,0.8,0.13,0.86
75,127.8,0.6,0.58,0.95
76,132.38,0.5,0.33,0.99
77,165.0,0.4,1.02,1.23
78,184.2,0.4,0.63,1.37
79,111.0,0.4,0.66,0.83
80,152.6,0.6,1.03,1.14
81,90.0,0.0,0.32,0.67
82,132.38,0.5,0.0,0.99
83,132.38,0.5,0.61,0.99
84,138.4,0.2,0.55,1.03
85,151.0,0.8,0.84,1.12
86,56.2,0.0,0.28,0.42
87,170.2,0.4,1.06,1.27
88,82.8,0.2,0.15,0.62
89,126.8,0.2,0.55,0.94
90,125.0,0.6,0.62,0.93
91,174.4,0.4,0.86,1.3
92,120.2,0.6,0.6,0.9
93,99.4,0.2,0.6,0.74
94,132.38,0.5,0.1,0.99
95,37.0,0.0,0.22,0.28
96,132.6,0.2,0.4,0.99
97,132.38,0.5,0.71,0.99
98,158.4,0.4,0.98,1.18
99,42.4,0.0,0.04,0.32
100,111.8,0.8,1.0,0.83
101,107.8,0.0,0.26,0.8
102,177.4,0.8,1.27,1.32
103,88.2,0.8,0.09,0.66
104,129.4,0.6,0.75,0.96
105,132.38,0.5,0.23,0.99
106,133.6,0.6,1.15,0.99
107,133.8,0.6,0.37,1.0
108,149.4,0.8,0.91,1.11
109,95.0,0.2,0.42,0.71
110,132.38,0.5,1.42,0.99
111,149.6,0.6,1.06,1.11
112,164.8,0.6,1.69,1.23
113,132.38,0.5,0.44,0.99
114,170.0,0.6,0.9,1.27
115,102.6,0.2,0.75,0.76
116,115.0,0.4,0.29,0.86
117,99.4,0.4,1.33,0.74
118,132.38,0.5,0.66,0.99
119,107.6,0.0,0.27,0.8
120,96.8,0.8,0.67,0.72
121,170.6,0.6,0.94,1.27
122,128.2,0.6,0.66,0.95
123,132.38,0.5,0.87,0.99
124,131.6,0.8,0.86,0.98
125,137.0,0.8,0.42,1.02
126,132.4,0.2,1.05,0.99
127,132.38,0.5,1.08,0.99
128,127.6,0.4,0.52,0.95
129,84.2,0.0,0.2,0.63
130,82.8,0.0,0.14,0.62
131,160.0,0.6,0.74,1.19
132,111.2,0.6,0.46,0.83
133,130.6,0.6,0.13,0.97
134,86.2,0.0,0.58,0.64
135,102.4,0.4,0.67,0.76
136,158.6,0.8,1.09,1.18
137,107.4,0.4,0.76,0.8
138,115.2,0.6,0.93,0.86
139,132.38,0.5,0.6,0.99
140,98.2,0.2,0.28,0.73
141,156.4,0.2,1.26,1.16
142,162.6,0.6,0.93,1.21
143,66.8,0.0,0.05,0.5
144,132.38,0.5,0.28,0.99
145,97.0,0.8,0.52,0.72
146,86.2,0.2,0.44,0.64
147,96.8,0.2,0.21,0.72
148,169.8,0.8,1.12,1.26
149,149.6,0.6,1.46,1.11
150,86.2,0.0,0.32,0.64
151,70.4,0.4,0.56,0.52
152,154.6,0.4,0.92,1.15
153,132.38,0.5,0.89,0.99
154,153.2,0.8,1.0,1.14
155,80.8,0.6,0.36,0.6
156,138.4,0.6,1.28,1.03
157,132.38,0.5,0.47,0.99
158,186.2,0.6,1.7,1.39
