team,team_id
Australia,3
New Zealand,108
England,42
South Africa,142
West Indies,166
Sri Lanka,145
Pakistan,117
India,64
Kenya,79
Bangladesh,8
Zimbabwe,171
Scotland,132
Bermuda,12
Ireland,67
Netherlands,107
Canada,23
Argentina,2
United States of America,162
Cayman Islands,25
Bahamas,6
Cape Cobras,24
Warriors,164
Lions,89
Impi,63
Knights,80
Dolphins,39
Titans,156
Thailand,155
Japan,74
Hong Kong,60
Nepal,106
Italy,71
Denmark,36
Uganda,160
Namibia,104
Papua New Guinea,120
United Arab Emirates,161
Northamptonshire,112
Leicestershire,87
Nottinghamshire,114
Lancashire,85
Yorkshire,170
Worcestershire,169
Glamorgan,53
Hampshire,59
Derbyshire,37
Durham,41
Middlesex,98
Sussex,149
Essex,43
Somerset,141
Surrey,148
Gloucestershire,54
Kent,78
Warwickshire,165
Malaysia,93
South Korea,143
China,28
Kuwait,82
Maldives,94
Saudi Arabia,131
Oman,116
Singapore,138
Jersey,75
Quetta Gladiators,126
Islamabad United,68
Peshawar Zalmi,121
Lahore Qalandars,84
Karachi Kings,77
Gibraltar,52
Spain,144
Isle of Man,69
Israel,70
Germany,50
Qatar,125
Samoa,130
Vanuatu,163
Tanzania,154
ICC World XI,62
Multan Sultans,102
Nigeria,109
Sierra Leone,137
Ghana,51
Gambia,49
Bahrain,7
Birmingham Bears,14
Rwanda,129
Botswana,17
Malawi,92
Lesotho,88
Mozambique,101
Fiji,46
Cyprus,34
Guernsey,56
Finland,47
Belgium,10
France,48
Portugal,124
Sweden,151
Norway,113
Czech Republic,35
Austria,4
Belize,11
Panama,119
Myanmar,103
Bhutan,13
Swaziland,150
St Helena,146
Indonesia,65
Philippines,122
Barbados,9
Jamaica,73
Windward Islands,168
Trinidad and Tobago,157
Guyana,58
Mali,95
Iran,66
Luxembourg,90
Romania,128
Bulgaria,19
Greece,55
Serbia,133
Malta,96
Hungary,61
Eswatini,45
Cameroon,22
Estonia,44
Seychelles,134
Brazil,18
Switzerland,152
Western Province,167
Boland,16
North West,111
Leeward Islands,86
Turkey,158
Croatia,33
Slovenia,140
Cook Islands,31
Abu Dhabi Knight Riders,0
Dubai Capitals,40
Sharjah Warriors,135
MI Emirates,91
Desert Vipers,38
Gulf Giants,57
Cambodia,21
Mexico,97
Chile,27
KwaZulu-Natal Inland,83
Costa Rica,32
Mongolia,99
Bloomfield Cricket and Athletic Club,15
Kandy Customs Cricket Club,76
Sinhalese Sports Club,139
Tamil Union Cricket and Athletic Club,153
Ace Capital Cricket Club,1
Negombo Cricket Club,105
Burgher Recreation Club,20
Moors Sports Club,100
Badureliya Sports Club,5
Chilaw Marians Cricket Club,26
Nugegoda Sports Welfare Club,115
Nondescripts Cricket Club,110
Colts Cricket Club,30
Colombo Cricket Club,29
Police Sports Club,123
Panadura Sports Club,118
Ragama Cricket Club,127
Kurunegala Youth Cricket Club,81
Ivory Coast,72
Suriname,147
Sharjah Warriorz,136
Turks and Caicos Island,159
