team_id,team_batting_avg,team_batting_std,team_form_avg_runs,team_form_win_rate,team_balance
0,148.97,32.56,147.75,0.37,0.9
1,124.25,35.97,113.52,0.36,0.57
2,89.97,36.95,105.38,0.41,0.41
3,148.13,38.77,145.71,0.64,0.94
4,137.08,47.26,133.72,0.61,0.79
5,124.14,32.67,130.7,0.29,0.59
6,97.24,26.99,101.23,0.32,0.47
7,125.34,43.43,122.66,0.44,0.71
8,126.95,37.43,125.88,0.39,0.66
9,90.78,29.16,111.13,0.71,0.59
10,142.55,37.05,132.29,0.56,0.86
11,89.0,31.23,102.28,0.24,0.44
12,129.27,40.65,129.93,0.63,0.8
13,88.87,30.45,93.52,0.3,0.34
14,164.05,39.61,161.5,0.55,0.99
15,94.9,31.18,105.49,0.58,0.7
16,143.52,28.4,137.38,0.5,0.77
17,100.71,38.16,103.86,0.39,0.48
18,78.59,32.85,84.44,0.39,0.3
19,136.92,53.2,133.18,0.28,0.75
20,101.44,39.04,113.75,0.53,0.68
21,110.62,46.0,119.85,0.39,0.75
22,67.25,34.69,72.64,0.2,0.3
23,130.52,49.25,131.04,0.54,0.8
24,149.04,27.38,147.17,0.51,0.81
25,115.22,38.45,116.79,0.41,0.58
26,116.88,31.76,122.14,0.4,0.71
27,62.0,14.14,132.38,0.5,0.13
28,60.25,25.14,64.9,0.26,0.18
29,142.25,43.99,136.47,0.59,0.92
30,128.33,38.98,134.46,0.53,0.81
31,106.66,35.58,110.3,0.45,0.57
32,70.56,25.01,95.68,0.27,0.39
33,94.0,31.27,98.2,0.34,0.34
34,127.28,43.42,128.11,0.54,0.57
35,131.82,48.86,131.94,0.34,0.61
36,123.55,42.6,127.02,0.46,0.58
37,161.08,28.64,160.4,0.4,0.91
38,154.31,30.31,150.04,0.56,0.96
39,143.97,35.07,142.4,0.44,0.77
40,160.97,31.3,152.9,0.51,0.9
41,156.27,29.83,154.44,0.42,0.83
42,148.14,38.33,146.15,0.61,0.9
43,164.53,33.64,162.36,0.46,1.0
44,128.26,40.15,122.38,0.38,0.69
45,83.56,53.88,78.35,0.19,0.47
46,105.09,40.62,112.94,0.36,0.53
47,108.95,37.22,116.84,0.43,0.53
48,111.55,44.04,110.49,0.37,0.5
49,84.2,31.72,100.83,0.26,0.38
50,120.77,40.12,120.58,0.59,0.57
51,106.78,39.72,108.04,0.34,0.5
52,137.17,40.89,136.37,0.34,0.65
53,153.01,41.66,151.97,0.44,0.94
54,156.27,32.08,155.44,0.53,0.92
55,94.89,34.89,97.29,0.24,0.39
56,116.4,31.75,117.42,0.54,0.63
57,153.97,24.36,151.76,0.55,0.84
58,94.5,16.06,119.69,0.47,0.35
59,156.95,33.42,154.86,0.48,0.91
60,118.53,43.51,115.65,0.48,0.58
61,154.7,32.91,149.97,0.52,0.91
62,157.25,23.61,132.38,0.5,0.94
63,141.71,29.06,137.42,0.29,0.68
64,149.77,42.05,148.32,0.62,0.91
65,109.57,39.27,106.68,0.53,0.56
66,108.0,0.0,132.38,0.5,0.44
67,130.26,38.6,129.03,0.49,0.74
68,161.03,33.96,159.75,0.55,1.03
69,103.03,40.75,110.81,0.58,0.64
70,120.67,27.63,124.4,0.33,0.54
71,125.07,35.03,125.98,0.65,0.66
72,25.2,12.58,110.95,0.4,0.11
73,114.17,31.53,125.09,0.57,0.54
74,115.08,50.28,115.98,0.56,0.51
75,129.04,37.9,128.87,0.6,0.68
76,89.0,10.15,132.38,0.5,0.37
77,157.64,28.6,154.37,0.41,0.93
78,164.49,32.79,163.71,0.48,0.93
79,119.78,43.58,121.28,0.55,0.73
80,143.38,32.04,142.13,0.36,0.79
81,104.2,42.29,116.75,0.3,0.48
82,115.45,46.35,116.63,0.48,0.68
83,88.0,0.0,132.38,0.5,0.61
84,161.7,35.1,157.43,0.44,0.98
85,161.34,32.12,160.36,0.6,0.89
86,56.2,10.64,117.15,0.4,0.18
87,155.48,31.26,153.87,0.4,0.88
88,73.25,37.81,79.81,0.14,0.37
89,145.12,29.92,142.24,0.53,0.78
90,130.93,36.42,134.65,0.37,0.64
91,168.32,29.44,163.35,0.55,1.0
92,98.82,38.71,96.88,0.39,0.49
93,111.74,50.21,112.48,0.49,0.59
94,96.4,39.01,98.85,0.19,0.44
95,36.55,27.3,71.05,0.18,0.2
96,141.07,41.94,142.86,0.4,0.74
97,95.26,28.27,99.28,0.43,0.39
98,161.62,33.74,160.8,0.31,0.93
99,41.0,22.05,49.65,0.06,0.08
100,114.73,24.39,120.85,0.64,0.84
101,93.94,43.74,102.1,0.38,0.44
102,166.3,37.55,163.99,0.52,1.01
103,77.62,31.9,83.46,0.38,0.28
104,118.4,43.2,116.7,0.56,0.64
105,114.0,53.74,132.38,0.5,0.56
106,114.79,48.83,114.71,0.59,0.63
107,126.95,40.31,123.95,0.49,0.67
108,144.65,37.82,141.8,0.52,0.82
109,106.04,39.56,106.72,0.49,0.52
110,103.5,44.42,112.18,0.73,1.15
111,141.8,23.86,138.02,0.4,0.76
112,159.21,34.98,156.89,0.46,0.97
113,120.75,38.13,120.93,0.47,0.62
114,160.31,34.49,160.06,0.58,1.05
115,113.86,31.77,120.62,0.46,0.62
116,127.46,36.62,126.09,0.43,0.74
117,136.75,36.48,134.97,0.51,0.72
118,140.5,24.27,136.35,0.64,0.69
119,95.11,32.92,101.1,0.29,0.4
120,123.82,44.6,121.7,0.57,0.67
121,162.85,32.71,161.24,0.51,1.01
122,107.75,44.59,106.59,0.39,0.56
123,110.44,26.79,116.88,0.38,0.76
124,134.83,33.56,137.18,0.68,0.75
125,123.38,43.78,123.39,0.44,0.68
126,156.86,34.04,155.25,0.5,0.95
127,107.0,0.0,132.38,0.5,1.08
128,143.9,37.97,145.47,0.64,0.97
129,99.37,35.22,100.19,0.41,0.5
130,101.65,44.9,104.82,0.37,0.54
131,138.08,38.86,134.09,0.54,0.82
132,131.32,42.41,130.36,0.53,0.74
133,123.11,50.03,126.41,0.41,0.64
134,92.23,38.28,99.27,0.23,0.5
135,132.16,32.21,133.12,0.43,0.77
136,156.58,28.67,146.11,0.47,1.02
137,89.79,34.34,92.69,0.48,0.37
138,113.38,46.13,111.47,0.32,0.54
139,115.0,24.04,132.38,0.5,0.73
140,115.2,48.38,118.4,0.2,0.57
141,166.94,35.35,165.98,0.58,1.06
142,142.0,38.32,140.91,0.51,0.82
143,96.19,39.09,100.51,0.23,0.46
144,115.29,39.15,118.7,0.73,0.62
145,131.8,37.49,130.42,0.43,0.72
146,87.27,38.67,104.03,0.31,0.49
147,92.12,30.89,115.52,0.38,0.37
148,165.39,34.58,163.75,0.57,0.97
149,160.94,33.94,159.33,0.5,0.98
150,90.33,18.95,109.13,0.22,0.46
151,118.53,38.83,109.63,0.42,0.59
152,132.43,48.22,136.74,0.61,0.82
153,128.56,34.23,129.86,0.49,0.69
154,120.97,44.84,122.38,0.59,0.72
155,92.99,34.23,94.11,0.55,0.44
156,149.74,37.6,149.07,0.64,0.86
157,77.25,25.34,132.38,0.5,0.5
158,116.09,58.24,113.94,0.3,0.64
159,99.0,21.74,132.38,0.5,0.51
160,115.85,40.48,115.39,0.67,0.62
161,124.64,42.56,124.58,0.61,0.69
162,124.7,42.5,123.8,0.52,0.68
163,109.26,38.21,110.79,0.43,0.5
164,141.42,26.57,139.86,0.44,0.81
165,156.49,27.65,154.56,0.59,0.87
166,139.26,40.5,135.86,0.44,0.81
167,138.95,27.29,134.55,0.4,0.72
168,75.43,14.09,107.7,0.37,0.3
169,161.86,30.82,160.61,0.46,0.94
170,167.83,38.43,166.0,0.47,0.98
171,131.39,37.38,130.94,0.45,0.7
