venue_id,venue_avg_runs,venue_runs_std,venue_matches,venue_high_score,venue_low_score,venue_difficulty
0,81.0,2.83,2,83,79,0.6
1,129.25,85.98,8,214,6,0.96
2,125.88,25.47,8,168,105,0.94
3,135.5,27.43,4,169,102,1.01
4,101.24,51.02,34,237,2,0.75
5,104.18,37.73,17,194,56,0.78
6,149.94,44.27,31,241,25,1.12
7,99.5,0.71,2,100,99,0.74
8,137.75,43.67,4,178,98,1.03
9,140.05,35.07,202,282,26,1.04
10,127.81,60.32,70,318,25,0.95
11,157.33,32.43,6,198,100,1.17
12,128.9,36.22,10,188,68,0.96
14,139.92,60.25,12,239,31,1.04
17,132.25,10.48,8,149,121,0.98
18,156.75,22.26,4,190,143,1.17
19,100.92,65.79,12,216,11,0.75
20,103.41,38.13,34,229,12,0.77
21,97.86,23.27,7,133,78,0.73
22,142.25,15.59,4,158,124,1.06
23,127.42,28.53,12,189,85,0.95
24,163.25,25.97,4,202,148,1.22
25,194.75,40.09,4,221,135,1.45
26,160.78,24.38,9,198,129,1.2
27,81.22,29.15,54,145,23,0.6
28,30.5,1.73,4,33,29,0.23
29,126.0,79.03,4,244,76,0.94
30,113.75,44.32,4,180,87,0.85
31,148.5,0.71,2,149,148,1.11
32,122.62,15.47,8,160,111,0.91
33,226.25,7.37,4,237,221,1.68
34,145.0,29.83,4,171,102,1.08
35,145.25,21.44,4,177,130,1.08
36,156.77,49.08,22,243,25,1.17
37,146.77,46.11,13,220,72,1.09
38,118.48,42.94,90,233,49,0.88
39,64.91,48.85,22,172,1,0.48
40,99.23,46.19,175,222,0,0.74
41,145.6,29.0,30,197,94,1.08
42,132.2,40.81,20,226,71,0.98
43,174.83,27.7,6,213,141,1.3
44,139.54,35.94,26,213,51,1.04
45,141.5,0.71,2,142,141,1.05
46,140.62,28.21,8,195,112,1.05
47,134.0,46.72,4,199,99,1.0
48,113.0,30.72,9,153,52,0.84
49,96.0,1.41,2,97,95,0.71
50,143.0,7.35,4,147,132,1.06
51,144.25,30.34,44,211,60,1.07
53,101.97,33.6,30,183,40,0.76
54,84.03,52.5,102,279,17,0.63
55,108.12,54.4,24,229,25,0.81
56,90.34,50.69,64,234,20,0.67
57,152.62,35.87,16,209,96,1.14
58,171.67,21.23,6,196,142,1.28
59,171.5,0.71,2,172,171,1.28
60,124.79,40.53,14,169,48,0.93
61,126.41,55.88,17,256,28,0.94
62,130.83,24.42,6,156,101,0.97
63,137.75,53.75,20,267,40,1.03
64,155.8,31.67,10,209,114,1.16
65,143.3,37.9,10,179,64,1.07
66,157.38,18.25,8,177,126,1.17
67,129.94,39.6,47,217,4,0.97
68,138.33,37.58,18,201,69,1.03
69,126.44,20.47,9,149,87,0.94
70,162.29,29.27,14,195,109,1.21
71,177.5,44.55,2,209,146,1.32
73,132.08,55.5,24,245,15,0.98
74,156.85,29.13,20,191,100,1.17
75,89.55,30.62,20,156,40,0.67
76,139.7,18.3,20,208,121,1.04
77,130.5,36.06,2,156,105,0.97
78,85.55,58.12,20,249,32,0.64
79,133.5,5.8,4,139,128,0.99
80,168.75,22.4,4,191,148,1.26
81,106.62,32.48,21,190,53,0.79
82,130.39,39.0,18,189,76,0.97
83,100.79,32.5,14,174,50,0.75
84,148.17,31.34,6,197,114,1.1
86,112.7,22.01,10,149,76,0.84
87,159.5,26.16,2,178,141,1.19
88,161.9,27.62,21,212,96,1.21
89,155.33,49.95,12,206,29,1.16
90,125.21,34.79,34,174,55,0.93
91,79.4,20.13,5,101,49,0.59
92,118.25,36.62,24,176,31,0.88
93,130.5,33.23,2,154,107,0.97
94,120.65,57.99,26,245,14,0.9
95,157.52,32.83,431,249,10,1.17
96,161.19,32.89,64,234,85,1.2
97,166.52,37.9,80,254,31,1.24
98,166.77,31.99,56,243,102,1.24
99,156.4,38.97,94,258,23,1.16
100,164.99,31.7,80,229,58,1.23
101,163.21,25.02,68,217,100,1.22
102,168.62,34.47,72,237,54,1.26
103,98.5,28.61,16,187,64,0.73
104,156.87,40.01,31,221,44,1.17
105,135.67,37.25,6,185,101,1.01
106,190.0,5.66,2,194,186,1.41
107,147.0,19.9,10,181,119,1.09
108,145.75,24.47,4,180,122,1.09
109,111.28,28.05,82,204,49,0.83
110,145.44,46.74,25,199,7,1.08
111,133.33,57.27,12,187,16,0.99
112,172.33,27.45,6,217,146,1.28
113,104.75,25.13,4,127,82,0.78
114,181.75,36.58,4,209,131,1.35
115,118.44,48.0,16,170,7,0.88
116,139.61,34.32,422,217,8,1.04
117,133.71,30.99,14,201,70,1.0
118,159.4,26.09,10,186,111,1.19
119,148.02,47.87,53,245,8,1.1
120,130.33,72.82,18,226,8,0.97
121,155.45,34.73,140,242,39,1.16
122,149.75,39.13,154,240,46,1.12
123,120.67,28.44,6,148,74,0.9
124,65.5,2.12,2,67,64,0.49
125,100.17,32.81,94,180,34,0.75
126,114.05,50.17,20,235,38,0.85
127,122.34,41.59,44,176,30,0.91
128,92.7,49.46,10,169,21,0.69
129,138.42,38.14,24,186,62,1.03
130,122.06,25.85,18,171,77,0.91
131,81.4,25.19,20,130,30,0.61
132,125.36,26.18,22,157,72,0.93
133,145.72,51.5,25,245,63,1.09
134,129.92,26.73,12,163,73,0.97
135,158.02,28.1,55,209,90,1.18
136,162.51,37.79,135,245,5,1.21
137,85.41,29.23,64,180,32,0.64
138,116.71,41.53,175,229,26,0.87
139,109.06,49.52,174,270,6,0.81
140,100.88,32.66,24,151,38,0.75
141,106.12,24.76,26,171,75,0.79
142,149.38,23.8,8,174,105,1.11
143,128.69,55.76,16,234,65,0.96
144,151.92,37.31,79,255,16,1.13
145,163.89,26.79,70,214,89,1.22
146,107.4,34.5,10,157,53,0.8
147,103.69,39.09,16,163,42,0.77
148,120.21,57.43,24,197,2,0.9
149,137.0,27.83,8,191,109,1.02
150,149.95,42.06,42,254,44,1.12
151,152.0,51.04,4,204,82,1.13
152,135.75,15.22,4,145,113,1.01
153,147.5,0.71,2,148,147,1.1
154,117.75,62.13,4,173,61,0.88
155,160.5,63.25,4,235,106,1.2
156,72.42,27.63,12,144,37,0.54
157,80.88,35.64,8,118,23,0.6
158,76.88,14.36,8,94,57,0.57
159,168.83,40.8,6,218,108,1.26
160,122.12,34.4,26,199,67,0.91
161,52.5,0.71,2,53,52,0.39
162,85.79,26.48,34,170,46,0.64
163,133.33,32.06,12,191,84,0.99
164,65.86,43.31,14,148,24,0.49
165,113.09,43.46,66,286,18,0.84
166,155.5,21.76,4,184,131,1.16
167,136.65,36.76,26,208,32,1.02
168,131.03,37.72,32,196,71,0.98
169,142.06,35.67,130,234,6,1.06
170,109.0,31.48,8,162,75,0.81
171,121.5,50.79,18,199,9,0.9
173,162.34,35.48,88,260,67,1.21
174,176.86,37.66,70,240,83,1.32
175,114.88,29.14,32,228,74,0.86
176,125.18,47.04,17,200,47,0.93
177,165.75,21.7,4,186,146,1.23
178,179.5,55.39,4,260,142,1.34
179,202.5,34.65,2,227,178,1.51
180,88.83,32.83,18,158,28,0.66
181,109.3,27.67,30,161,55,0.81
182,129.0,34.26,46,183,29,0.96
183,141.0,27.06,22,205,106,1.05
184,93.8,28.12,10,149,61,0.7
185,111.5,0.71,2,112,111,0.83
186,131.75,60.36,4,186,79,0.98
187,127.73,33.33,64,204,27,0.95
188,127.75,8.66,4,139,118,0.95
189,139.45,15.43,20,167,117,1.04
190,137.91,33.02,34,197,83,1.03
191,123.35,47.03,20,206,63,0.92
192,105.29,49.5,78,237,14,0.78
193,118.2,40.92,20,198,66,0.88
194,122.5,60.12,4,196,49,0.91
195,159.75,10.87,4,176,153,1.19
196,168.0,35.36,2,193,143,1.25
197,131.75,32.67,4,175,105,0.98
198,116.92,49.78,26,217,41,0.87
199,89.75,7.27,4,97,80,0.67
200,142.0,34.0,8,183,89,1.06
201,115.8,18.02,10,137,82,0.86
202,127.22,28.91,18,177,74,0.95
203,85.7,46.9,10,142,4,0.64
204,151.94,41.22,134,240,2,1.13
205,160.05,39.99,79,254,53,1.19
206,95.5,11.33,6,108,81,0.71
207,142.74,26.16,34,195,87,1.06
208,137.74,48.71,42,224,10,1.03
209,145.0,1.41,2,146,144,1.08
210,118.6,39.14,72,214,44,0.88
211,106.38,25.82,8,149,84,0.79
212,162.0,18.02,4,180,146,1.21
213,116.59,21.86,17,160,80,0.87
214,136.94,43.16,31,225,16,1.02
215,139.22,40.6,36,218,68,1.04
216,141.5,35.31,107,226,8,1.05
217,129.09,38.84,65,219,27,0.96
218,92.13,42.65,46,214,14,0.69
219,119.7,47.52,10,181,50,0.89
220,113.25,48.74,4,179,64,0.84
221,106.0,35.42,12,167,46,0.79
222,119.5,0.71,2,120,119,0.89
223,83.55,47.21,29,196,10,0.62
224,97.08,56.66,24,197,7,0.72
225,115.0,33.19,8,175,70,0.86
226,131.95,59.3,20,226,61,0.98
227,91.29,31.48,14,167,46,0.68
228,156.5,31.24,76,218,88,1.17
229,159.98,40.59,43,237,63,1.19
230,85.25,26.96,8,120,35,0.63
231,124.67,22.8,6,145,90,0.93
232,132.78,27.8,18,202,91,0.99
233,157.0,4.24,2,160,154,1.17
234,164.5,31.89,4,194,134,1.22
235,134.83,37.95,12,182,80,1.0
236,149.43,44.08,7,189,84,1.11
237,132.5,46.66,4,201,101,0.99
238,185.75,16.74,4,206,166,1.38
239,116.86,37.6,14,182,46,0.87
240,123.67,23.37,6,142,89,0.92
241,130.75,59.1,4,185,47,0.97
242,101.75,26.39,8,131,62,0.76
244,130.17,63.4,6,195,41,0.97
245,143.33,28.14,21,185,86,1.07
246,129.46,46.58,28,195,8,0.96
247,139.17,41.34,12,185,30,1.04
248,162.38,45.85,8,236,110,1.21
249,135.75,4.11,4,141,132,1.01
250,114.56,40.15,34,205,39,0.85
251,92.61,37.07,18,177,53,0.69
253,146.79,40.85,126,258,30,1.09
254,161.5,33.28,10,241,129,1.2
255,126.5,36.24,4,160,75,0.94
256,121.8,26.72,10,154,77,0.91
257,135.55,28.43,47,186,69,1.01
258,134.0,2.83,2,136,132,1.0
259,167.75,20.77,4,198,151,1.25
260,178.9,34.03,10,238,124,1.33
261,63.67,45.98,6,146,21,0.47
262,96.5,33.95,8,161,66,0.72
263,129.42,53.63,72,258,8,0.96
264,125.89,59.48,18,230,47,0.94
265,98.0,35.29,6,148,60,0.73
266,143.82,40.82,76,211,41,1.07
267,115.17,12.72,6,132,105,0.86
