player_id,player_name,role,skill_level,star_rating,teams,batting_avg,bowling_avg,total_matches
656,A Athanaze,Batsman,Average,5.0,West Indies,23.54,,13
437,A Bagai,Wicketkeeper-Batsman,Good,5.5,Canada,25.58,0.0,26
137,A Balbirnie,Batsman,Good,5.5,Ireland,31.26,31.0,78
335,A Dananjaya,All-rounder,Average,4.0,Sri Lanka,11.07,33.64,38
384,A Dutt,All-rounder,Average,4.0,Netherlands,6.03,36.24,44
128,A Flintoff,All-rounder,Star,8.0,"England,ICC World XI",29.11,20.87,80
740,A Johnson,Batsman,Average,5.0,Canada,23.05,,19
662,A Kumble,All-rounder,Average,5.0,"India,Asia XI",6.75,40.58,27
956,A Martin,All-rounder,Average,5.0,West Indies,2.0,32.56,10
957,A McGrath,Batsman,Average,5.0,England,14.09,47.67,14
407,A Mishra,All-rounder,Average,4.0,India,4.3,26.08,32
652,A Nao,All-rounder,Average,4.0,Papua New Guinea,3.6,37.83,19
322,A Nehra,All-rounder,Average,4.0,"India,Asia XI",2.9,29.96,79
476,A Nel,All-rounder,Average,5.0,South Africa,6.47,24.92,58
790,A Nortje,All-rounder,Average,4.0,South Africa,5.71,26.69,21
933,A Saud,Batsman,Average,4.0,Nepal,17.18,0.0,11
847,A Shahzad,All-rounder,Average,4.0,England,5.0,28.0,10
968,A Sharafu,Batsman,Average,4.0,United Arab Emirates,15.12,0.0,18
806,A Sharma,Batsman,Average,4.0,United Arab Emirates,16.54,0.0,13
35,A Symonds,All-rounder,Star,7.0,Australia,34.18,42.33,121
132,A Vala,All-rounder,Star,8.0,Papua New Guinea,31.84,29.79,56
418,A Zampa,All-rounder,Average,4.0,Australia,6.54,29.4,104
515,AA Obanda,Batsman,Good,5.5,Kenya,34.79,0.0,15
359,AB Agarkar,All-rounder,Average,4.0,India,9.51,25.05,65
379,AB Barath,Batsman,Good,5.5,West Indies,28.14,0.0,14
951,AB Dinda,All-rounder,Average,4.0,India,4.2,49.42,13
29,AB de Villiers,All-rounder,Good,5.5,"South Africa,Africa XI",44.3,26.86,217
802,AC Agar,All-rounder,Average,4.0,Australia,17.89,45.05,23
619,AC Botha,All-rounder,Average,5.0,Ireland,15.59,29.43,17
530,AC Evans,All-rounder,Average,4.0,Scotland,6.0,30.72,26
50,AC Gilchrist,Wicketkeeper-Batsman,Star,7.0,Australia,36.91,0.0,120
328,AC Voges,Batsman,Good,5.5,Australia,29.56,57.25,30
36,AD Hales,Batsman,Star,7.0,England,35.85,0.0,65
669,AD Mascarenhas,All-rounder,Average,4.0,England,18.85,51.92,20
46,AD Mathews,All-rounder,Star,7.0,Sri Lanka,30.68,32.26,211
195,AD Russell,All-rounder,Good,6.0,West Indies,22.0,29.33,55
835,ADS Fletcher,Batsman,Average,4.0,West Indies,13.26,,23
812,AF Giles,All-rounder,Average,5.0,England,15.89,36.59,35
797,AF Milne,All-rounder,Average,4.0,New Zealand,8.18,33.95,48
601,AG Cremer,All-rounder,Average,4.0,Zimbabwe,10.35,41.52,67
801,AG Prince,Batsman,Average,5.0,"Africa XI,South Africa",23.06,,40
788,AG Wharf,All-rounder,Average,5.0,England,3.8,21.88,12
110,AJ Bichel,All-rounder,Average,5.0,Australia,18.43,27.52,27
37,AJ Finch,Batsman,Star,7.0,Australia,37.32,83.0,140
295,AJ Hall,All-rounder,Average,5.0,South Africa,13.82,24.95,55
435,AJ Hosein,All-rounder,Average,4.0,West Indies,9.5,29.18,38
892,AJ Ireland,All-rounder,Average,4.0,Zimbabwe,1.71,36.47,13
723,AJ McKay,All-rounder,Average,4.0,New Zealand,1.33,27.52,19
865,AJ Stewart,Batsman,Good,5.5,England,28.7,0.0,11
59,AJ Strauss,Batsman,Good,6.5,England,33.29,,113
6,AK Markram,All-rounder,Star,7.0,South Africa,32.89,53.56,69
271,AK Sah,Batsman,Average,4.0,Nepal,24.62,0.0,13
114,AL Phehlukwayo,All-rounder,Average,4.0,South Africa,15.9,31.54,81
260,AM Blignaut,All-rounder,Average,4.0,Zimbabwe,14.2,35.97,30
833,AM Ellis,All-rounder,Average,4.5,New Zealand,12.83,34.25,15
