team_id,team_name,team_type
0,Africa XI,Special XI
1,Asia XI,Special XI
2,Australia,National
3,Bangladesh,National
4,Bermuda,National
5,Canada,National
6,England,National
7,Hong Kong,National
8,ICC World XI,Special XI
9,India,National
10,Ireland,National
11,Kenya,National
12,Namibia,National
13,Nepal,National
14,Netherlands,National
15,New Zealand,National
16,Nottinghamshire,County
17,Oman,National
18,Pakistan,National
19,Papua New Guinea,National
20,Scotland,National
21,South Africa,National
22,Sri Lanka,National
23,United Arab Emirates,National
24,United States of America,National
25,West Indies,National
26,Yorkshire,County
27,Zimbabwe,National
