match_id,date,venue,team,opposition,season_year,season_month,gender,match_type,toss_won,toss_decision_bat,toss_decision_field,team_team_batting_avg,team_team_strike_rate,team_team_total_runs,team_elite_batsmen,team_star_batsmen,team_power_hitters,team_team_bowling_avg,team_team_economy,team_team_total_wickets,team_elite_bowlers,team_star_bowlers,team_all_rounder_count,team_wicketkeeper_count,team_elite_players,team_star_players,team_avg_star_rating,team_team_balance,team_team_depth,team_known_players_count,opp_team_batting_avg,opp_team_strike_rate,opp_team_total_runs,opp_elite_batsmen,opp_star_batsmen,opp_power_hitters,opp_team_bowling_avg,opp_team_economy,opp_team_total_wickets,opp_elite_bowlers,opp_star_bowlers,opp_all_rounder_count,opp_wicketkeeper_count,opp_elite_players,opp_star_players,opp_avg_star_rating,opp_team_balance,opp_team_depth,opp_known_players_count,batting_advantage,star_advantage,elite_advantage,total_runs
1000887,2017-01-13,"Brisbane Cricket Ground, Woolloongabba",Australia,Pakistan,2017,1,male,ODI,1,1,0,26.82,85.07,25149,0,3,2,34.78,5.64,644,0,1,7,1,0,4,5.61,0.771,5,9,25.67,82.23,22484,1,0,3,66.77,5.06,468,1,2,6,2,1,1,5.59,0.384,6,11,-39.95,3,-1,268
1000887,2017-01-13,"Brisbane Cricket Ground, Woolloongabba",Pakistan,Australia,2017,1,male,ODI,0,1,0,25.67,82.23,22484,1,0,3,66.77,5.06,468,1,2,6,2,1,1,5.59,0.384,6,11,26.82,85.07,25149,0,3,2,34.78,5.64,644,0,1,7,1,0,4,5.61,0.771,5,9,-9.11,-3,1,176
1000889,2017-01-15,Melbourne Cricket Ground,Australia,Pakistan,2017,1,male,ODI,1,1,0,26.02,82.24,26819,0,4,2,33.8,5.53,778,0,2,8,1,0,5,5.59,0.77,6,11,25.08,77.93,27121,1,0,3,35.91,5.41,545,1,3,6,2,1,2,5.73,0.698,6,11,-9.89,3,-1,220
1000889,2017-01-15,Melbourne Cricket Ground,Pakistan,Australia,2017,1,male,ODI,0,1,0,25.08,77.93,27121,1,0,3,35.91,5.41,545,1,3,6,2,1,2,5.73,0.698,6,11,26.02,82.24,26819,0,4,2,33.8,5.53,778,0,2,8,1,0,5,5.59,0.77,6,11,-8.72,-3,1,221
1000891,2017-01-19,Western Australia Cricket Association Ground,Australia,Pakistan,2017,1,male,ODI,1,0,1,27.74,83.07,24116,0,4,2,35.7,5.65,485,0,1,6,1,0,4,5.6,0.777,6,10,25.08,77.93,27121,1,0,3,35.91,5.41,545,1,3,6,2,1,2,5.73,0.698,6,11,-8.17,2,-1,265
1000891,2017-01-19,Western Australia Cricket Association Ground,Pakistan,Australia,2017,1,male,ODI,0,0,1,25.08,77.93,27121,1,0,3,35.91,5.41,545,1,3,6,2,1,2,5.73,0.698,6,11,27.74,83.07,24116,0,4,2,35.7,5.65,485,0,1,6,1,0,4,5.6,0.777,6,10,-10.62,-2,1,263
1000893,2017-01-22,Sydney Cricket Ground,Australia,Pakistan,2017,1,male,ODI,1,1,0,24.78,79.7,23991,0,4,2,33.6,5.56,794,0,2,7,1,0,4,5.45,0.738,6,11,26.11,78.95,27615,1,0,3,66.49,4.96,546,1,3,6,2,1,2,5.86,0.393,7,11,-41.71,2,-1,353
1000893,2017-01-22,Sydney Cricket Ground,Pakistan,Australia,2017,1,male,ODI,0,1,0,26.11,78.95,27615,1,0,3,66.49,4.96,546,1,3,6,2,1,2,5.86,0.393,7,11,24.78,79.7,23991,0,4,2,33.6,5.56,794,0,2,7,1,0,4,5.45,0.738,6,11,-7.49,-2,1,267
1000895,2017-01-26,Adelaide Oval,Australia,Pakistan,2017,1,male,ODI,1,1,0,22.92,81.0,23477,0,3,2,33.2,5.55,888,0,2,8,1,0,3,5.18,0.69,5,11,24.94,76.45,27403,1,0,2,64.44,5.04,622,1,2,6,2,1,2,5.68,0.387,7,11,-41.52,1,-1,369
1000895,2017-01-26,Adelaide Oval,Pakistan,Australia,2017,1,male,ODI,0,1,0,24.94,76.45,27403,1,0,2,64.44,5.04,622,1,2,6,2,1,2,5.68,0.387,7,11,22.92,81.0,23477,0,3,2,33.2,5.55,888,0,2,8,1,0,3,5.18,0.69,5,11,-8.26,-1,1,312
