venue_id,venue_name,stadium,city
0,AMI Stadium,AMI Stadium,
1,Adelaide Oval,Adelaide Oval,
2,Affies Park,Affies Park,
3,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),
4,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),
5,"Amini Park, Port Moresby",Amini Park,Port Moresby
6,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,
7,"Antigua Recreation Ground, St John's",Antigua Recreation Ground,St John's
8,Arbab Niaz Stadium,Arbab Niaz Stadium,
9,Arnos Vale Ground,Arnos Vale Ground,
10,"Arnos Vale Ground, Kingstown",Arnos Vale Ground,Kingstown
11,"Arnos Vale Ground, Kingstown, St Vincent",Arnos Vale Ground,Kingstown
12,Arun Jaitley Stadium,Arun Jaitley Stadium,
13,"Arun Jaitley Stadium, Delhi",Arun Jaitley Stadium,Delhi
14,Bangabandhu National Stadium,Bangabandhu National Stadium,
15,"Bangabandhu National Stadium, Dhaka",Bangabandhu National Stadium,Dhaka
16,Barabati Stadium,Barabati Stadium,
17,"Barabati Stadium, Cuttack",Barabati Stadium,Cuttack
18,Barsapara Cricket Stadium,Barsapara Cricket Stadium,
19,"Barsapara Cricket Stadium, Guwahati",Barsapara Cricket Stadium,Guwahati
20,Basin Reserve,Basin Reserve,
21,"Basin Reserve, Wellington",Basin Reserve,Wellington
22,Bay Oval,Bay Oval,
23,"Bay Oval, Mount Maunganui",Bay Oval,Mount Maunganui
24,"Beausejour Stadium, Gros Islet",Beausejour Stadium,Gros Islet
25,Bellerive Oval,Bellerive Oval,
26,"Bellerive Oval, Hobart",Bellerive Oval,Hobart
27,Bert Sutcliffe Oval,Bert Sutcliffe Oval,
28,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow
29,Boland Park,Boland Park,
30,"Boland Park, Paarl",Boland Park,Paarl
31,Brabourne Stadium,Brabourne Stadium,
32,"Bready Cricket Club, Magheramason",Bready Cricket Club,Magheramason
33,"Brian Lara Stadium, Tarouba, Trinidad",Brian Lara Stadium,Tarouba
34,Brisbane Cricket Ground,Brisbane Cricket Ground,
35,"Brisbane Cricket Ground, Woolloongabba",Brisbane Cricket Ground,Woolloongabba
36,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Cricket Ground,Woolloongabba
37,Buffalo Park,Buffalo Park,
38,"Buffalo Park, East London",Buffalo Park,East London
