match_id,date,venue,team_a,team_b,team_a_players_total,team_a_players_known,team_a_coverage,team_b_players_total,team_b_players_known,team_b_coverage,total_players,known_players,total_coverage,tier,tier_num,match_type,gender,event,has_outcome
1000887,2017-01-13,"Brisbane Cricket Ground, Woolloongabba",Australia,Pakistan,11,9,81.8,11,11,100.0,22,20,90.9,Tier 1 - Excellent,1,ODI,male,Pakistan in Australia ODI Series,True
1000889,2017-01-15,Melbourne Cricket Ground,Australia,Pakistan,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,Pakistan in Australia ODI Series,True
1000891,2017-01-19,Western Australia Cricket Association Ground,Australia,Pakistan,11,10,90.9,11,11,100.0,22,21,95.5,Tier 1 - Excellent,1,ODI,male,Pakistan in Australia ODI Series,True
1000893,2017-01-22,Sydney Cricket Ground,Australia,Pakistan,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,Pakistan in Australia ODI Series,True
1000895,2017-01-26,Adelaide Oval,Australia,Pakistan,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,Pakistan in Australia ODI Series,True
1001371,2016-12-04,Sydney Cricket Ground,Australia,New Zealand,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,Chappell-Hadlee Trophy,True
1001373,2016-12-06,Manuka Oval,Australia,New Zealand,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,Chappell-Hadlee Trophy,True
1001375,2016-12-09,Melbourne Cricket Ground,Australia,New Zealand,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,Chappell-Hadlee Trophy,True
1002143,2016-05-02,"Civil Service Cricket Club, Stormont, Belfast",Northern Knights,Leinster Lightning,11,0,0.0,11,4,36.4,22,4,18.2,Tier 4 - Poor,4,ODM,male,Cricket Ireland Inter-Provincial Limited Over Cup,True
1002145,2016-05-30,New Strabane Park,Leinster Lightning,North-West Warriors,11,4,36.4,11,2,18.2,22,6,27.3,Tier 4 - Poor,4,ODM,male,Cricket Ireland Inter-Provincial Limited Over Cup,True
1002147,2016-06-12,"The Vineyard, Dublin",North-West Warriors,Leinster Lightning,11,1,9.1,11,4,36.4,22,5,22.7,Tier 4 - Poor,4,ODM,male,Cricket Ireland Inter-Provincial Limited Over Cup,True
1002149,2016-07-31,"Observatory Lane, Rathmines, Dublin",Northern Knights,Leinster Lightning,11,1,9.1,11,6,54.5,22,7,31.8,Tier 4 - Poor,4,ODM,male,Cricket Ireland Inter-Provincial Limited Over Cup,True
1002151,2016-08-07,"The Lawn, Waringstown",North-West Warriors,Northern Knights,11,2,18.2,11,0,0.0,22,2,9.1,Tier 4 - Poor,4,ODM,male,Cricket Ireland Inter-Provincial Limited Over Cup,True
1004253,2016-10-21,Amini Park,Namibia,Papua New Guinea,11,6,54.5,11,7,63.6,22,13,59.1,Tier 3 - Fair,3,ODM,male,ICC World Cricket League Championship,True
1004255,2016-10-23,Amini Park,Namibia,Papua New Guinea,11,7,63.6,11,7,63.6,22,14,63.6,Tier 3 - Fair,3,ODM,male,ICC World Cricket League Championship,True
1004261,2016-08-13,VRA Ground,Nepal,Netherlands,11,5,45.5,11,8,72.7,22,13,59.1,Tier 3 - Fair,3,ODM,male,ICC World Cricket League Championship,True
1004269,2016-11-20,Gymkhana Club Ground,Hong Kong,Kenya,11,7,63.6,11,5,45.5,22,12,54.5,Tier 3 - Fair,3,ODM,male,ICC World Cricket League Championship,True
1004283,2016-09-08,"Grange Cricket Club Ground, Raeburn Place",Hong Kong,Scotland,11,7,63.6,11,10,90.9,22,17,77.3,Tier 2 - Good,2,ODI,male,Hong Kong in Scotland ODI Series,True
1004285,2016-09-10,"Grange Cricket Club Ground, Raeburn Place",Hong Kong,Scotland,11,7,63.6,11,10,90.9,22,17,77.3,Tier 2 - Good,2,ODI,male,Hong Kong in Scotland ODI Series,True
1007649,2016-06-11,Harare Sports Club,India,Zimbabwe,11,9,81.8,11,10,90.9,22,19,86.4,Tier 1 - Excellent,1,ODI,male,India in Zimbabwe ODI Series,True
1007651,2016-06-13,Harare Sports Club,India,Zimbabwe,11,9,81.8,11,10,90.9,22,19,86.4,Tier 1 - Excellent,1,ODI,male,India in Zimbabwe ODI Series,True
