player,role,skill_level,star_rating,total_matches,teams,batting_avg,strike_rate,total_runs,bowling_avg,economy,total_wickets
RG Sharma,All-rounder,Star,7.0,259,India,42.08,75.09,10646,74.57,5.22,7.0
CH Gayle,All-rounder,Star,7.0,200,"West Indies, ICC World XI",32.49,73.31,6433,37.27,4.6,90.0
MJ Guptill,Batsman,Star,7.0,190,New Zealand,37.5,75.87,7125,22.25,5.24,4.0
SR Watson,All-rounder,Elite,8.5,162,Australia,35.71,82.46,5357,31.23,4.91,145.0
Ishan Kishan,Batsman,Star,7.0,24,India,38.52,78.68,886,,,
V Sehwag,All-rounder,Star,7.0,165,"India, Asia XI, ICC World XI",34.71,90.76,5692,40.9,4.88,48.0
AK Markram,All-rounder,Star,7.0,69,South Africa,32.89,90.54,2171,53.56,5.42,16.0
Shubman Gill,Batsman,Elite,8.5,48,India,49.53,89.69,2328,,8.33,0.0
Fakhar Zaman,Batsman,Elite,8.5,78,Pakistan,45.18,77.1,3434,111.0,5.29,1.0
Q de Kock,Wicketkeeper-Batsman,Star,7.0,153,South Africa,43.54,84.44,6661,,,
MP Stoinis,All-rounder,Good,5.5,68,Australia,23.63,82.74,1489,42.8,5.9,46.0
TM Head,All-rounder,Good,6.0,67,Australia,40.69,95.37,2645,44.3,5.63,23.0
SR Tendulkar,All-rounder,Star,7.0,144,India,44.98,72.59,6432,59.27,5.28,22.0
JC Buttler,Wicketkeeper-Batsman,Good,6.0,169,England,33.01,98.46,5018,,,
MR Marsh,All-rounder,Star,7.0,90,Australia,31.75,81.1,2762,34.12,5.33,57.0
CK Coventry,Batsman,Good,5.5,25,Zimbabwe,26.88,68.23,645,,,
H Klaasen,Wicketkeeper-Batsman,Star,7.5,53,South Africa,38.02,98.67,1977,,6.6,0.0
HH Gibbs,Batsman,Star,7.0,104,South Africa,36.92,70.14,3766,,,
KC Sangakkara,Wicketkeeper-Batsman,Star,7.0,293,"Sri Lanka, ICC World XI, Asia XI",41.05,71.85,11618,,,
JN Malan,Batsman,Star,7.0,23,South Africa,43.55,64.66,958,,,
V Kohli,All-rounder,Good,5.5,286,India,49.23,79.05,13784,130.6,6.1,5.0
L Ronchi,Wicketkeeper-Batsman,Average,4.5,81,"New Zealand, Australia",20.85,95.65,1397,,,
SC Williams,All-rounder,Star,7.0,130,Zimbabwe,33.39,76.45,4274,49.84,4.92,67.0
BA Stokes,All-rounder,Good,5.5,109,England,35.4,84.3,3469,40.43,5.81,74.0
Liton Das,Wicketkeeper-Batsman,Good,5.5,83,Bangladesh,26.24,61.06,2178,,,
BFW de Leede,All-rounder,Good,5.5,42,Netherlands,26.33,60.19,1027,30.67,5.73,43.0
TM Dilshan,All-rounder,Elite,8.5,271,Sri Lanka,35.57,80.85,9212,52.81,4.84,77.0
CS MacLeod,All-rounder,Star,7.0,62,Scotland,33.03,69.3,2015,69.75,4.57,8.0
ST Jayasuriya,All-rounder,Star,7.0,133,"Sri Lanka, Asia XI",33.35,77.45,4402,37.3,4.7,82.0
AB de Villiers,All-rounder,Good,5.5,217,"South Africa, Africa XI",44.3,91.82,9435,26.86,5.88,7.0
E Lewis,Batsman,Star,7.0,53,West Indies,36.6,73.66,1903,,,
DA Warner,Batsman,Star,7.0,155,Australia,43.01,87.4,6623,,8.0,0.0
JS Malhotra,Batsman,Average,5.0,15,United States of America,23.87,63.55,358,32.5,3.82,2.0
LRPL Taylor,Batsman,Star,8.0,217,New Zealand,38.88,72.63,8126,,3.86,0.0
ML Hayden,Batsman,Star,7.0,98,Australia,41.03,71.51,3939,,,
A Symonds,All-rounder,Star,7.0,121,Australia,34.18,77.67,3589,42.33,4.94,66.0
AD Hales,Batsman,Star,7.0,65,England,35.85,80.2,2330,,,
AJ Finch,Batsman,Star,7.0,140,Australia,37.32,72.59,5188,83.0,5.41,3.0
SD Hope,Wicketkeeper-Batsman,Star,7.0,121,West Indies,41.58,71.86,4989,,,
JJ Roy,Batsman,Star,7.0,112,England,38.87,82.52,4237,,,
RT Ponting,Batsman,Star,7.0,194,Australia,36.93,68.21,6979,,,
Shahid Afridi,All-rounder,Average,4.5,205,"Pakistan, Asia XI, ICC World XI",21.15,113.53,3913,34.17,4.51,224.0
BJ McMullen,All-rounder,Elite,9.5,26,Scotland,40.36,76.55,888,18.47,3.91,36.0
PR Stirling,All-rounder,Star,7.0,105,Ireland,31.79,73.57,3338,61.58,4.83,19.0
D Ramdin,Wicketkeeper-Batsman,Average,4.0,123,West Indies,20.12,68.52,2072,,,
WU Tharanga,Batsman,Good,5.5,209,"Sri Lanka, Asia XI",31.47,64.37,6482,,,
AD Mathews,All-rounder,Star,7.0,211,Sri Lanka,30.68,74.38,5646,32.26,4.55,120.0
Imran Nazir,Batsman,Good,5.5,22,Pakistan,25.29,83.91,531,,,
Sharjeel Khan,Batsman,Good,6.0,24,Pakistan,32.79,99.0,787,,,
Yuvraj Singh,All-rounder,Star,7.0,219,"India, Asia XI",33.02,77.16,6868,41.26,5.06,81.0
AC Gilchrist,Wicketkeeper-Batsman,Star,7.0,120,Australia,36.91,90.05,4355,,,
CB Wishart,Batsman,Average,4.0,15,Zimbabwe,24.07,56.09,361,,,
F du Plessis,Batsman,Star,7.0,138,South Africa,40.33,79.58,5445,90.0,5.62,2.0
Soumya Sarkar,All-rounder,Good,5.5,65,Bangladesh,32.97,77.13,2044,32.62,5.93,16.0
HM Amla,Batsman,Elite,8.5,175,South Africa,45.02,80.27,7834,,,
Sikandar Raza,All-rounder,Star,7.0,119,Zimbabwe,30.49,78.73,3445,45.4,4.79,68.0
SPD Smith,All-rounder,Star,7.0,161,Australia,37.75,80.93,5549,37.15,5.43,26.0
Rohan Mustafa,All-rounder,Average,5.0,75,United Arab Emirates,20.3,52.21,1401,33.22,4.42,77.0
DP Conway,Batsman,Star,7.0,30,New Zealand,40.87,69.06,1226,,,
AJ Strauss,Batsman,Good,6.5,113,England,33.29,67.15,3729,,3.0,0.0
Tamim Iqbal,Batsman,Star,7.0,215,Bangladesh,35.57,67.74,7648,,6.0,0.0
CG Williams,Batsman,Good,6.5,16,Namibia,26.69,66.0,427,62.67,4.37,3.0
YK Pathan,All-rounder,Average,4.0,54,India,19.76,93.9,810,45.69,5.36,29.0
MM Ali,All-rounder,Average,4.0,130,England,20.71,81.8,2278,52.63,5.28,98.0
KJ Coetzer,Batsman,Star,7.0,63,Scotland,36.19,68.84,2280,131.0,4.85,1.0
Aqib Ilyas,All-rounder,Elite,8.5,31,Oman,41.07,68.51,1191,30.22,4.66,23.0
Babar Azam,Batsman,Elite,8.5,116,Pakistan,49.64,78.72,5659,,,
GJ Bailey,Batsman,Star,7.0,86,Australia,36.28,71.96,3011,,,
MS Dhoni,Wicketkeeper-Batsman,Star,7.0,323,"Asia XI, India",36.82,85.72,10274,29.0,4.83,1.0
Asif Khan,Batsman,Good,5.5,35,United Arab Emirates,33.97,75.52,1155,,,
