feature,importance
batting_first,0.22141582
team_team_avg_batting_avg,0.04868967
team_team_batting_depth,0.04170358
opp_team_known_players,0.03136407
team_team_max_batting_avg,0.028794931
opp_team_elite_bowlers,0.026235823
team_team_known_players,0.025057444
team_recent_avg_score,0.024709359
team_team_avg_strike_rate,0.022821048
h2h_matches_played,0.022409182
venue_avg_score,0.02205338
h2h_avg_score,0.021124575
opp_team_avg_bowling_economy,0.020493494
opp_team_batting_depth,0.020477397
opp_encoded,0.020013897
opp_team_avg_batting_avg,0.01998318
opp_recent_avg_score,0.019291442
team_form_trend,0.018851357
opp_team_min_bowling_economy,0.018675584
opp_team_avg_strike_rate,0.01862459
season_year,0.018514246
opp_team_elite_batsmen,0.017388511
venue_score_std,0.017330928
venue_encoded,0.017321572
team_encoded,0.017147725
opp_team_max_batting_avg,0.016964018
team_team_min_bowling_economy,0.01693632
opp_form_matches,0.0169232
opp_team_power_hitters,0.016643798
team_form_matches,0.016513431
team_team_elite_batsmen,0.016255671
team_team_avg_bowling_economy,0.016058719
opp_team_all_rounders,0.016042896
season_month,0.015985385
team_team_power_hitters,0.015666394
venue_matches_played,0.0153345745
team_team_all_rounders,0.015309838
team_team_elite_bowlers,0.013642818
toss_won,0.011230131
