feature,importance
batting_first,0.19835198
opp_team_known_players,0.047687527
team_team_avg_batting_avg,0.038791176
team_team_batting_depth,0.031115854
venue_avg_score,0.024220927
team_recent_avg_score,0.023896266
opp_encoded,0.02337153
team_team_known_players,0.023102371
team_team_max_batting_avg,0.02266836
h2h_matches_played,0.022568315
opp_form_matches,0.022242231
opp_team_elite_bowlers,0.022077877
opp_team_avg_bowling_economy,0.021625385
season_year,0.021491557
opp_team_min_bowling_economy,0.020967955
h2h_avg_score,0.020678272
opp_team_all_rounders,0.020375628
opp_recent_avg_score,0.020357598
opp_team_avg_batting_avg,0.02020791
team_form_trend,0.019970644
team_team_avg_strike_rate,0.01981121
opp_team_batting_depth,0.01971504
team_team_all_rounders,0.01962911
season_month,0.019389413
team_team_min_bowling_economy,0.018960934
venue_encoded,0.018834028
venue_score_std,0.018821076
opp_team_max_batting_avg,0.018624138
opp_team_avg_strike_rate,0.01858888
team_encoded,0.018398697
team_form_matches,0.018173948
venue_matches_played,0.01808353
team_team_avg_bowling_economy,0.017591596
opp_team_power_hitters,0.016610779
team_team_elite_bowlers,0.016089559
team_team_elite_batsmen,0.016080797
team_team_power_hitters,0.013762576
opp_team_elite_batsmen,0.0137575865
toss_won,0.013307811
