feature,importance
form_x_batting_first,0.12866668
batting_first,0.054179363
team_batting_x_venue,0.036005925
opp_team_known_players,0.035099395
team_balance,0.031159267
opp_form_matches,0.030361118
team_team_known_players,0.025296234
quality_x_form,0.023664497
bowling_threat,0.022357067
opp_encoded,0.01973178
venue_difficulty,0.019625131
season_year,0.019271588
opp_team_power_hitters,0.01918965
h2h_avg_score,0.019121787
batting_advantage,0.018590072
opp_team_batting_depth,0.018353285
h2h_matches_played,0.018163411
match_intensity,0.018078467
opp_team_max_batting_avg,0.017959591
venue_avg_score,0.017459432
venue_encoded,0.01729864
opp_team_avg_batting_avg,0.017252259
opp_team_min_bowling_economy,0.017219732
opp_team_avg_strike_rate,0.01714746
team_form_trend,0.017106118
opp_recent_avg_score,0.017040975
season_month,0.016989768
opp_team_avg_bowling_economy,0.016750364
team_team_elite_batsmen,0.016613334
team_encoded,0.016498849
team_team_min_bowling_economy,0.016182398
team_team_avg_strike_rate,0.016175
opp_team_elite_batsmen,0.016022265
team_team_max_batting_avg,0.015830785
team_team_all_rounders,0.015762191
team_form_matches,0.015589873
venue_matches_played,0.015405338
team_team_avg_batting_avg,0.015163863
venue_score_std,0.015100356
opp_team_elite_bowlers,0.014883608
opp_team_all_rounders,0.01406545
team_recent_avg_score,0.013087174
team_team_power_hitters,0.013007092
team_team_avg_bowling_economy,0.012743883
team_team_elite_bowlers,0.010389603
team_team_batting_depth,0.010343106
toss_won,0.007996818
