feature,importance
pitch_bounce,0.0737742
toss_decision_field,0.03928613
toss_won,0.0285021
opp_elite_bowlers,0.023561496
pitch_swing,0.023094153
h2h_avg_runs,0.02036266
team_elite_batsmen,0.015662322
team_team_strike_rate,0.013053778
team_recent_avg,0.0118414145
star_advantage,0.011641895
team_venue_avg,0.01136077
team_weighted_batting_strength,0.01094574
team_top_bat_3_avg,0.010834246
team_specialist_bowlers,0.010599912
team_aggressive_batsmen,0.010567264
season_year,0.010341477
opp_elite_players,0.010113628
team_top_bat_1_avg,0.009575602
elite_advantage,0.009567832
h2h_win_rate,0.008892017
opp_specialist_bowlers,0.008877863
team_team_depth,0.00887368
opp_wicketkeeper_count,0.0088610025
opp_power_hitters,0.008747813
opp_aggressive_batsmen,0.008529756
quality_differential,0.008405675
team_top_bat_3_sr,0.008168322
is_home,0.008162279
opp_top_bowl_3_econ,0.008160052
team_team_batting_median,0.008149604
opp_top_bowl_2_econ,0.00790563
opp_top_bat_2_avg,0.007903613
team_top_bowl_3_econ,0.007853821
team_known_players_count,0.007841368
team_top_bowl_2_econ,0.007763935
opp_team_total_wickets,0.007754554
opp_top_bat_2_sr,0.0075281993
team_team_bowling_median,0.0074999854
opp_star_batsmen,0.007485646
team_max_star_rating,0.007320497
opp_star_players,0.007281221
team_star_batsmen,0.007256008
opp_top_bowl_1_avg,0.0071757524
opp_known_players_count,0.0071511636
venue_high_score,0.0070647327
team_good_batsmen,0.0070412057
opp_top_bat_1_avg,0.0070011397
team_team_total_runs,0.0069823484
team_good_bowlers,0.0069727176
opp_is_home,0.006942415
batting_bowling_ratio,0.006883566
team_top_bat_1_sr,0.006823307
team_top_bat_2_avg,0.0067246645
team_team_bowling_avg,0.006575295
opp_team_bowling_median,0.00651102
opp_good_batsmen,0.006483505
team_all_rounder_count,0.006412255
team_team_total_wickets,0.0063684834
form_momentum,0.0063062515
opp_top_bowl_2_avg,0.006305635
opp_team_total_runs,0.0062901303
team_top_bat_2_sr,0.0062714014
opp_top_bat_1_sr,0.006195191
h2h_matches,0.006185655
team_specialist_batsmen,0.006180965
venue_avg_runs,0.0061355666
opp_avg_star_rating,0.006065364
team_top_bowl_3_avg,0.0060650534
team_avg_star_rating,0.006013472
team_power_hitters,0.0060028112
opp_weighted_batting_strength,0.0059694974
opp_team_economy_std,0.0059605404
batting_advantage,0.0059431135
opp_team_strike_rate,0.005934354
opp_team_economy,0.005929376
opp_all_rounder_count,0.005842396
team_weighted_bowling_strength,0.0057438146
is_rivalry,0.0057211164
team_top_bowl_1_avg,0.005687304
opp_form_trend,0.005658291
team_team_batting_std,0.0056568733
opp_venue_avg,0.0055412757
opp_top_bat_3_avg,0.005516818
team_venue_matches,0.00547609
opp_recent_wins,0.0054704593
opp_team_batting_std,0.0054583238
opposition_recent_avg,0.00545059
season_month,0.005450129
team_top_bowl_2_avg,0.0053817155
tournament_importance,0.0053757597
venue_runs_std,0.005368035
team_star_players,0.0053674197
team_team_balance,0.005326264
opp_team_depth,0.005317143
humidity,0.0052234116
team_recent_wins,0.005214685
team_team_economy,0.0051928232
opp_top_bat_3_sr,0.0051223417
team_top_bowl_1_econ,0.00510731
batting_bowling_diff,0.005107123
opp_top_bowl_1_econ,0.0051062843
opp_batting_bowling_ratio,0.0050722184
opp_team_balance,0.0050484682
match_number,0.005036791
team_form_trend,0.0050190547
team_bowling_depth,0.004988711
opp_team_batting_median,0.004967629
temperature,0.0049650287
opp_max_star_rating,0.004943006
team_wicketkeeper_count,0.004942621
opp_star_bowlers,0.0048816972
venue_matches,0.0046650283
opp_team_bowling_avg,0.0045332876
opp_top_bowl_3_avg,0.004477949
opp_weighted_bowling_strength,0.004403695
team_form_matches,0.0043366067
venue_low_score,0.004083019
opp_good_bowlers,0.004045613
match_type_encoded,0.00398669
team_elite_players,0.0039248276
team_team_economy_std,0.0038536047
team_elite_bowlers,0.0037764343
team_star_bowlers,0.0037451556
opp_specialist_batsmen,0.0036836592
opp_bowling_depth,0.0029582703
opp_elite_batsmen,0.0
gender_encoded,0.0
