venue_id,venue_name
0,"7he Sevens Stadium, Dubai"
1,AMI Stadium
2,Abu Dhabi Oval 1
3,Abu Dhabi Oval 2
4,"Achimota Senior Secondary School A Field, Accra"
5,"Achimota Senior Secondary School B Field, Accra"
6,Adelaide Oval
7,Affies Park
8,Aigburth
9,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
10,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2)
11,Al Dhaid Cricket Village
12,Albert Park 1
13,"Albert Park 1, Suva"
14,Albert Park 2
15,"Albert Park 2, Suva"
16,Albertslund Cricket Club
17,Allan Border Field
18,"Allan Border Field, Brisbane"
19,Amini Park
20,"Amini Park, Port Moresby"
21,"Army Ground, Panagoda"
22,"Arnos Vale Ground, Kingstown"
23,"Arnos Vale Ground, Kingstown, St Vincent"
24,Arun Jaitley Stadium
25,"Arun Jaitley Stadium, Delhi"
26,Arundel Castle Cricket Club Ground
27,Asian Institute of Technology Ground
28,"Asian Institute of Technology Ground, Bangkok"
29,"Ballpark Ground, Graz"
30,Barabati Stadium
31,"Barabati Stadium, Cuttack"
32,Barsapara Cricket Stadium
33,"Barsapara Cricket Stadium, Guwahati"
34,Basin Reserve
35,"Basin Reserve, Wellington"
36,Bay Oval
37,"Bay Oval, Mount Maunganui"
38,Bayer Uerdingen Cricket Ground
39,Bayuemas Oval
40,"Bayuemas Oval, Kuala Lumpur"
41,"Beausejour Stadium, Gros Islet"
42,"Belgrano Athletic Club Ground, Buenos Aires"
43,Bellerive Oval
44,"Bellerive Oval, Hobart"
45,Bermuda National Stadium
46,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium
47,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
48,"Bloomfield Cricket and Athletic Club Ground, Colombo"
49,Boland Bank Park
50,Boland Park
51,"Boland Park, Paarl"
52,"Botkyrka Cricket Center, Stockholm"
53,Botswana Cricket Association Oval 1
54,"Botswana Cricket Association Oval 1, Gaborone"
55,Botswana Cricket Association Oval 2
56,"Botswana Cricket Association Oval 2, Gaborone"
57,Brabourne Stadium
58,"Brabourne Stadium, Mumbai"
59,Bready
60,"Bready Cricket Club, Magheramason"
61,"Bready Cricket Club, Magheramason, Bready"
62,"Brian Lara Stadium, Tarouba"
63,"Brian Lara Stadium, Tarouba, Trinidad"
64,"Brisbane Cricket Ground, Woolloongabba"
65,"Brisbane Cricket Ground, Woolloongabba, Brisbane"
66,Buffalo Park
67,"Buffalo Park, East London"
68,Bulawayo Athletic Club
69,Carrara Oval
70,"Castle Avenue, Dublin"
71,Castle Park Cricket Ground
72,"Cazaly's Stadium, Cairns"
73,Central Broward Regional Park Stadium Turf Ground
74,"Central Broward Regional Park Stadium Turf Ground, Lauderhill"
75,"Centre for Cricket Development Ground, Windhoek"
76,"Chevrolet Park, Bloemfontein"
77,Chilaw Marians Cricket Club Ground
78,Church Street Park
79,City Oval
80,"City Oval, Pietermaritzburg"
81,"Civil Service Cricket Club, Stormont"
