feature,importance
team_balance_x,0.6178734824568273
h2h_avg_runs,0.09882115593349843
pitch_bounce,0.09155545810541585
team_form_avg_runs,0.05361474759855432
team_recent_avg,0.02317788640768729
h2h_win_rate,0.007961868601333244
venue_avg_runs,0.007709751589412201
h2h_matches,0.006857652214362854
opposition_recent_avg,0.006833013257822523
venue_high_score,0.006431334741137831
pitch_swing,0.006423231544043937
opposition_bowling_std,0.0063467052113376984
venue_runs_std,0.006252387826911716
humidity,0.005571648797926626
team_batting_std,0.005502787492136056
team_batting_avg_x,0.005136366625392195
h2h_last_meeting,0.004714708924766838
opposition_bowling_avg,0.004379298197975521
date,0.004301241385860548
event_name,0.003991029607304308
venue_low_score,0.00368103472813068
venue_matches,0.0036165787084353872
match_number,0.003129933730656443
season_month,0.0028085588341253036
team_form_win_rate,0.0025440139060512955
team_chemistry,0.002068822841693051
gender_female,0.0019060993421841667
gender_male,0.0016069246044584406
season,0.0012713312382138223
team_depth,0.0010376036042580776
role_variety,0.0010229566522059253
season_year,0.0008119243516821345
toss_decision_bat,0.0005889859025628098
toss_decision_field,0.00044947503563526206
