feature,importance
pitch_bounce,0.2966163
team_balance_x,0.2368073
h2h_avg_runs,0.07651864
gender_female,0.048117153
team_form_avg_runs,0.03967823
team_recent_avg,0.02756908
pitch_swing,0.027164081
h2h_matches,0.016974684
h2h_win_rate,0.014585161
team_form_win_rate,0.014279836
venue_high_score,0.014124804
opposition_bowling_std,0.013728644
venue_runs_std,0.012790079
team_batting_avg_x,0.01229122
team_batting_std,0.01121064
venue_avg_runs,0.010885887
opposition_bowling_avg,0.010368842
season_month,0.0100619085
season_year,0.00995745
venue_low_score,0.009899896
h2h_last_meeting,0.008970071
venue_matches,0.008109738
match_number,0.008075418
date,0.0079697715
event_name,0.0076903272
team_chemistry,0.007475172
humidity,0.007209903
opposition_recent_avg,0.006982295
toss_decision_bat,0.006654573
team_depth,0.005910552
role_variety,0.005766461
season,0.005555954
toss_decision_field,0.0
gender_male,0.0
