match_id,team,innings_number,total_runs,total_wickets,balls_bowled,overs_bowled,run_rate,extras,boundaries_4s,boundaries_6s,boundaries_total,venue,city,date,opposition,match_outcome,player_of_match,teams,team_batting_avg,team_strike_rate,team_centuries,team_fifties,team_boundaries_4s,team_boundaries_6s,team_players_count,team_bowling_avg,team_economy,team_wickets,team_maidens,team_batsmen,team_bowlers,team_allrounders,team_wicketkeepers,venue_avg_runs,venue_runs_std,venue_matches,venue_min_runs,venue_max_runs,venue_avg_rr,venue_rr_std,venue_avg_boundaries,venue_total_boundaries,venue_high_scoring,opp_avg_runs,opp_runs_std,opp_matches,opp_avg_rr,opp_rr_std,opp_avg_boundaries,opp_total_boundaries,team_balance,venue_advantage
1001349,Australia,1,168,0,125,20.833333333333332,8.064,7,9,4,13,Melbourne Cricket Ground,Unknown,2017-02-17,Sri Lanka,Sri Lanka,['DAS Gunaratne'],"['Australia', 'Sri Lanka']",17.843999999999998,113.89703703703707,6.0,72.0,1271.0,542.0,53,43.237272727272725,5.711304347826087,0.0,227.0,7,20,16,6,146.17,22.6,6,111,172,7.47,1.3,14.83,89,0,159.79,45.23,14,8.13,1.57,17.21,241,0.25925925925925924,-1.9019492385786805
1001349,Sri Lanka,2,172,0,125,20.833333333333332,8.256,13,20,1,21,Melbourne Cricket Ground,Unknown,2017-02-17,Australia,Sri Lanka,['DAS Gunaratne'],"['Australia', 'Sri Lanka']",15.398571428571428,106.28866666666667,0.0,51.0,917.0,344.0,60,48.35304347826087,6.027857142857143,0.0,135.0,12,24,15,4,146.17,22.6,6,111,172,7.47,1.3,14.83,89,0,140.72,48.92,18,7.22,2.12,15.83,285,0.3333333333333333,-1.9019492385786805
1001351,Australia,1,173,0,123,20.5,8.439024390243903,8,10,6,16,"Simonds Stadium, South Geelong",Victoria,2017-02-19,Sri Lanka,Sri Lanka,['DAS Gunaratne'],"['Australia', 'Sri Lanka']",17.843999999999998,113.89703703703707,6.0,72.0,1271.0,542.0,53,43.237272727272725,5.711304347826087,0.0,227.0,7,20,16,6,127.75,56.41,4,61,176,6.66,2.11,14.25,57,0,159.79,45.23,14,8.13,1.57,17.21,241,0.25925925925925924,-20.321949238578668
1001351,Sri Lanka,2,176,0,124,20.666666666666668,8.516129032258064,7,18,6,24,"Simonds Stadium, South Geelong",Victoria,2017-02-19,Australia,Sri Lanka,['DAS Gunaratne'],"['Australia', 'Sri Lanka']",15.398571428571428,106.28866666666667,0.0,51.0,917.0,344.0,60,48.35304347826087,6.027857142857143,0.0,135.0,12,24,15,4,127.75,56.41,4,61,176,6.66,2.11,14.25,57,0,140.72,48.92,18,7.22,2.12,15.83,285,0.3333333333333333,-20.321949238578668
1001353,Australia,1,187,0,125,20.833333333333332,8.976,8,14,8,22,Adelaide Oval,Unknown,2017-02-22,Sri Lanka,Australia,['A Zampa'],"['Australia', 'Sri Lanka']",17.843999999999998,113.89703703703707,6.0,72.0,1271.0,542.0,53,43.237272727272725,5.711304347826087,0.0,227.0,7,20,16,6,128.0,51.23,4,66,187,6.52,2.22,13.25,53,0,159.79,45.23,14,8.13,1.57,17.21,241,0.25925925925925924,-20.071949238578668
1001353,Sri Lanka,2,146,0,115,19.166666666666668,7.617391304347826,9,12,5,17,Adelaide Oval,Unknown,2017-02-22,Australia,Australia,['A Zampa'],"['Australia', 'Sri Lanka']",15.398571428571428,106.28866666666667,0.0,51.0,917.0,344.0,60,48.35304347826087,6.027857142857143,0.0,135.0,12,24,15,4,128.0,51.23,4,66,187,6.52,2.22,13.25,53,0,140.72,48.92,18,7.22,2.12,15.83,285,0.3333333333333333,-20.071949238578668
1003843,Knights,1,184,0,123,20.5,8.975609756097562,10,16,8,24,"New Wanderers Stadium, Johannesburg",Johannesburg,2016-11-12,Cape Cobras,Knights,"['M de Lange', 'PE Kruger']","['Knights', 'Cape Cobras']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,151.89,57.73,9,3,194,7.81,1.86,17.0,153,1,141.47,59.99,15,7.7,1.57,15.73,236,0.6,3.8180507614213184
1003843,Cape Cobras,2,146,0,108,18.0,8.11111111111111,9,13,6,19,"New Wanderers Stadium, Johannesburg",Johannesburg,2016-11-12,Knights,Knights,"['M de Lange', 'PE Kruger']","['Knights', 'Cape Cobras']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,151.89,57.73,9,3,194,7.81,1.86,17.0,153,1,142.22,47.54,18,7.84,1.64,17.06,307,0.6,3.8180507614213184
1003845,Titans,1,194,0,128,21.333333333333332,9.09375,10,8,10,18,"New Wanderers Stadium, Johannesburg",Johannesburg,2016-11-12,Lions,Titans,"['JA Morkel', 'HG Kuhn']","['Titans', 'Lions']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,151.89,57.73,9,3,194,7.81,1.86,17.0,153,1,150.67,41.12,15,8.17,1.47,16.73,251,0.6,3.8180507614213184
1003845,Lions,2,152,0,120,20.0,7.6,5,9,10,19,"New Wanderers Stadium, Johannesburg",Johannesburg,2016-11-12,Titans,Titans,"['JA Morkel', 'HG Kuhn']","['Titans', 'Lions']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,151.89,57.73,9,3,194,7.81,1.86,17.0,153,1,139.74,29.27,19,7.92,1.92,15.84,301,0.6,3.8180507614213184
1003847,Dolphins,1,115,0,121,20.166666666666668,5.702479338842975,3,7,4,11,"Kingsmead, Durban",Durban,2016-11-13,Warriors,Warriors,['ACR Birch'],"['Dolphins', 'Warriors']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,128.29,54.99,14,8,181,7.47,1.92,14.43,202,0,145.15,32.7,20,8.19,2.32,15.1,302,0.6,-19.781949238578676
1003847,Warriors,2,118,0,97,16.166666666666668,7.298969072164948,10,8,5,13,"Kingsmead, Durban",Durban,2016-11-13,Dolphins,Warriors,['ACR Birch'],"['Dolphins', 'Warriors']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,128.29,54.99,14,8,181,7.47,1.92,14.43,202,0,147.87,42.94,15,8.46,1.69,17.07,256,0.6,-19.781949238578676
