ball_by_ball_id,ball_by_ball_name,career_id,career_name,gender,batting_style,bowling_style,playing_role,country_id,country_name,match_score,match_type,has_career_stats,batting_matches,batting_runs,batting_avg,batting_sr,batting_50s,batting_100s,batting_4s,batting_6s,batting_span,bowling_matches,bowling_wickets,bowling_avg,bowling_econ,bowling_sr,bowling_span,all_round_batting_avg,all_round_bowling_avg,all_round_span
18,A Balbirnie,303423.0,A Balbirnie,M,right-hand bat,right-arm offbreak,batter,29.0,Ireland,100,exact,True,89,1857.0,22.92,124.88,8.0,0.0,198.0,49.0,2015-2023,89,2.0,34.0,6.8,30.0,2010-2023,22.92,,2015-2023
27,A Bishnoi,1175441.0,Ravi Bishnoi,M,right-hand bat,legbreak googly,bowler,6.0,India,86,fuzzy,True,10,10.0,10.0,250.0,0.0,0.0,2.0,0.0,2022-2022,1,1.0,69.0,8.62,48.0,2022-2022,10.0,-7.12,2022-2022
30,A Bosch,482506.0,A Bosch,F,right-hand bat,right-arm medium,batting allrounder,3.0,South Africa,100,exact,True,0,0.0,,,0.0,0.0,0.0,0.0,,0,0.0,,,,,,,
31,A Bose,482506.0,A Bosch,F,right-hand bat,right-arm medium,batting allrounder,3.0,South Africa,77,fuzzy,True,0,0.0,,,0.0,0.0,0.0,0.0,,0,0.0,,,,,,,
38,A Canning,1229015.0,A Canning,F,right-hand bat,right-arm medium,bowler,29.0,Ireland,100,exact,True,0,0.0,,,0.0,0.0,0.0,0.0,,0,0.0,,,,,,,
39,A Capsey,1187120.0,A Capsey,F,right-hand bat,right-arm offbreak,batting allrounder,1.0,England,100,exact,True,0,0.0,,,0.0,0.0,0.0,0.0,,0,0.0,,,,,,,
40,A Carter,596417.0,BA Carse,M,right-hand bat,right-arm fast,bowler,1.0,England,75,fuzzy,True,0,0.0,,,0.0,0.0,0.0,0.0,,0,0.0,,,,,,,
44,A Charles,333066.0,J Charles,M,right-hand bat,,wicketkeeper batter,4.0,West Indies,89,fuzzy,True,38,825.0,22.29,121.14,4.0,0.0,92.0,30.0,2011-2022,48,0.0,,14.4,,2012-2016,22.29,,2011-2022
53,A Dalzell,1229005.0,A Dalzell,F,right-hand bat,right-arm medium,,29.0,Ireland,100,exact,True,0,0.0,,,0.0,0.0,0.0,0.0,,0,0.0,,,,,,,
63,A Dercksen,1163087.0,A Dercksen,M,right-hand bat,right-arm medium,allrounder,3.0,South Africa,100,exact,True,0,0.0,,,0.0,0.0,0.0,0.0,,0,0.0,,,,,,,
81,A Ferguson,493773.0,LH Ferguson,M,right-hand bat,right-arm fast,bowler,5.0,Newziland,86,fuzzy,True,31,21.0,5.25,100.0,0.0,0.0,0.0,2.0,2017-2023,53,85.0,31.04,5.66,32.8,2016-2023,5.25,-13.95,2017-2023
82,A Fernando,786925.0,AM Fernando,M,right-hand bat,right-arm medium-fast,bowler,8.0,Sri Lanka,95,fuzzy,True,3,10.0,,333.33,0.0,0.0,2.0,0.0,2022-2022,5,1.0,202.0,6.73,180.0,2017-2022,,,2022-2022
88,A Gardner,858809.0,A Gardner,F,right-hand bat,right-arm offbreak,allrounder,2.0,Australia,100,exact,True,0,0.0,,,0.0,0.0,0.0,0.0,,0,0.0,,,,,,,
90,A Gavde,858809.0,A Gardner,F,right-hand bat,right-arm offbreak,allrounder,2.0,Australia,75,fuzzy,True,0,0.0,,,0.0,0.0,0.0,0.0,,0,0.0,,,,,,,
105,A Harris,381268.0,GM Harris,F,right-hand bat,right-arm offbreak,allrounder,2.0,Australia,82,fuzzy,True,0,0.0,,,0.0,0.0,0.0,0.0,,0,0.0,,,,,,,
112,A Hunter,1229014.0,A Hunter,F,right-hand bat,,wicketkeeper batter,29.0,Ireland,100,exact,True,0,0.0,,,0.0,0.0,0.0,0.0,,0,0.0,,,,,,,
123,A Joshi,670031.0,AS Joseph,M,right-hand bat,right-arm fast,bowler,4.0,West Indies,75,fuzzy,True,10,29.0,14.5,80.55,0.0,0.0,2.0,1.0,2022-2022,54,87.0,27.67,5.21,31.8,2016-2022,14.5,-4.18,2022-2022
135,A Karn,1255411.0,AB Kaur,F,right-hand bat,,,6.0,India,77,fuzzy,True,0,0.0,,,0.0,0.0,0.0,0.0,,0,0.0,,,,,,,
139,A Kaul,1255411.0,AB Kaur,F,right-hand bat,,,6.0,India,77,fuzzy,True,0,0.0,,,0.0,0.0,0.0,0.0,,0,0.0,,,,,,,
140,A Khaka,387261.0,A Khaka,F,right-hand bat,right-arm medium,bowler,3.0,South Africa,100,exact,True,0,0.0,,,0.0,0.0,0.0,0.0,,0,0.0,,,,,,,
