ball_by_ball_id,ball_by_ball_name,career_id,career_name,gender,batting_style,bowling_style,playing_role,country_id,country_name,match_score,match_type,batting_matches,batting_runs,batting_avg,batting_sr,batting_50s,batting_100s,batting_4s,batting_6s,batting_span,bowling_matches,bowling_wickets,bowling_avg,bowling_econ,bowling_sr,bowling_span,all_round_batting_avg,all_round_bowling_avg,all_round_span
18,A Balbirnie,303423,A Balbirnie,M,right-hand bat,right-arm offbreak,batter,29,Ireland,100,exact,89.0,1857.0,22.92,124.88,8.0,0.0,198.0,49.0,2015-2023,89.0,2.0,34.0,6.8,30.0,2010-2023,22.92,,2015-2023
27,A Bishnoi,1175441,Ravi Bishnoi,M,right-hand bat,legbreak googly,bowler,6,India,86,fuzzy,10.0,10.0,10.0,250.0,0.0,0.0,2.0,0.0,2022-2022,1.0,1.0,69.0,8.62,48.0,2022-2022,10.0,-7.12,2022-2022
30,A Bosch,482506,A Bosch,F,right-hand bat,right-arm medium,batting allrounder,3,South Africa,100,exact,,,,,,,,,,,,,,,,,,
31,A Bose,482506,A Bosch,F,right-hand bat,right-arm medium,batting allrounder,3,South Africa,77,fuzzy,,,,,,,,,,,,,,,,,,
38,A Canning,1229015,A Canning,F,right-hand bat,right-arm medium,bowler,29,Ireland,100,exact,,,,,,,,,,,,,,,,,,
39,A Capsey,1187120,A Capsey,F,right-hand bat,right-arm offbreak,batting allrounder,1,England,100,exact,,,,,,,,,,,,,,,,,,
40,A Carter,596417,BA Carse,M,right-hand bat,right-arm fast,bowler,1,England,75,fuzzy,,,,,,,,,,,,,,,,,,
44,A Charles,333066,J Charles,M,right-hand bat,,wicketkeeper batter,4,West Indies,89,fuzzy,38.0,825.0,22.29,121.14,4.0,0.0,92.0,30.0,2011-2022,48.0,0.0,,14.4,,2012-2016,22.29,,2011-2022
53,A Dalzell,1229005,A Dalzell,F,right-hand bat,right-arm medium,,29,Ireland,100,exact,,,,,,,,,,,,,,,,,,
63,A Dercksen,1163087,A Dercksen,M,right-hand bat,right-arm medium,allrounder,3,South Africa,100,exact,,,,,,,,,,,,,,,,,,
81,A Ferguson,493773,LH Ferguson,M,right-hand bat,right-arm fast,bowler,5,Newziland,86,fuzzy,31.0,21.0,5.25,100.0,0.0,0.0,0.0,2.0,2017-2023,53.0,85.0,31.04,5.66,32.8,2016-2023,5.25,-13.95,2017-2023
82,A Fernando,786925,AM Fernando,M,right-hand bat,right-arm medium-fast,bowler,8,Sri Lanka,95,fuzzy,3.0,10.0,,333.33,0.0,0.0,2.0,0.0,2022-2022,5.0,1.0,202.0,6.73,180.0,2017-2022,,,2022-2022
88,A Gardner,858809,A Gardner,F,right-hand bat,right-arm offbreak,allrounder,2,Australia,100,exact,,,,,,,,,,,,,,,,,,
90,A Gavde,858809,A Gardner,F,right-hand bat,right-arm offbreak,allrounder,2,Australia,75,fuzzy,,,,,,,,,,,,,,,,,,
105,A Harris,381268,GM Harris,F,right-hand bat,right-arm offbreak,allrounder,2,Australia,82,fuzzy,,,,,,,,,,,,,,,,,,
112,A Hunter,1229014,A Hunter,F,right-hand bat,,wicketkeeper batter,29,Ireland,100,exact,,,,,,,,,,,,,,,,,,
123,A Joshi,670031,AS Joseph,M,right-hand bat,right-arm fast,bowler,4,West Indies,75,fuzzy,10.0,29.0,14.5,80.55,0.0,0.0,2.0,1.0,2022-2022,54.0,87.0,27.67,5.21,31.8,2016-2022,14.5,-4.18,2022-2022
135,A Karn,1255411,AB Kaur,F,right-hand bat,,,6,India,77,fuzzy,,,,,,,,,,,,,,,,,,
139,A Kaul,1255411,AB Kaur,F,right-hand bat,,,6,India,77,fuzzy,,,,,,,,,,,,,,,,,,
140,A Khaka,387261,A Khaka,F,right-hand bat,right-arm medium,bowler,3,South Africa,100,exact,,,,,,,,,,,,,,,,,,
141,A Khan,387261,A Khaka,F,right-hand bat,right-arm medium,bowler,3,South Africa,77,fuzzy,,,,,,,,,,,,,,,,,,
144,A King,670035,BA King,M,right-hand bat,,top-order batter,4,West Indies,92,fuzzy,32.0,744.0,26.57,126.96,6.0,0.0,86.0,23.0,2019-2022,20.0,0.0,,,,2019-2022,26.57,,2019-2022
148,A Kohli,253802,V Kohli,M,right-hand bat,right-arm medium,top-order batter,6,India,86,fuzzy,115.0,4008.0,52.73,137.96,37.0,1.0,356.0,117.0,2010-2022,271.0,4.0,166.25,6.22,160.2,2008-2023,52.73,1.73,2010-2022
164,A Lister,1125536,BG Lister,M,right-hand bat,left-arm medium,bowler,5,Newziland,82,fuzzy,,,,,,,,,,,,,,,,,,
176,A Mare,701751,RA Mair,F,right-hand bat,right-arm medium,bowler,5,Newziland,77,fuzzy,,,,,,,,,,,,,,,,,,
177,A Martel,595783,AY Patel,M,left-hand bat,slow left-arm orthodox,bowler,5,Newziland,75,fuzzy,7.0,7.0,3.5,50.0,0.0,0.0,0.0,0.0,2018-2021,,,,,,,3.5,-7.22,2018-2021
178,A Martin,54537,KJ Martin,F,right-hand bat,,wicketkeeper batter,5,Newziland,82,fuzzy,,,,,,,,,,,,,,,,,,
179,A Mazvishaya,538592,A Mazvishaya,F,right-hand bat,right-arm medium,,9,Zimbabwe,100,exact,,,,,,,,,,,,,,,,,,
183,A Mehmood,643885,S Mahmood,M,right-hand bat,right-arm fast-medium,bowler,1,England,78,fuzzy,12.0,22.0,7.33,78.57,0.0,0.0,2.0,0.0,2019-2022,7.0,14.0,19.92,4.58,26.0,2020-2021,7.33,-49.52,2019-2022
190,A Mishra,1075863,K Mishara,M,left-hand bat,right-arm offbreak,opening batter,8,Sri Lanka,82,fuzzy,,,,,,,,,,,,,,,,,,
193,A Mohamed,55187,A Mohammed,F,right-hand bat,right-arm offbreak,bowler,4,West Indies,95,fuzzy,,,,,,,,,,,,,,,,,,
194,A Mohammed,55187,A Mohammed,F,right-hand bat,right-arm offbreak,bowler,4,West Indies,100,exact,,,,,,,,,,,,,,,,,,
216,A Ndlovu,596456,A Ndlovu,M,right-hand bat,slow left-arm orthodox,bowler,9,Zimbabwe,100,exact,6.0,25.0,25.0,78.12,0.0,0.0,3.0,0.0,2019-2022,2.0,1.0,80.0,4.7,102.0,2019-2019,25.0,-47.5,2019-2022
220,A Nicholas,539511,HM Nicholls,M,left-hand bat,right-arm offbreak,top-order batter,5,Newziland,76,fuzzy,10.0,100.0,12.5,89.28,0.0,0.0,9.0,0.0,2016-2021,61.0,0.0,,,,2015-2023,12.5,,2016-2021
223,A Nortje,481979,A Nortje,M,right-hand bat,right-arm fast,bowler,3,South Africa,100,exact,29.0,16.0,2.66,48.48,0.0,0.0,1.0,0.0,2019-2022,19.0,34.0,25.7,5.83,26.4,2019-2023,2.66,-17.01,2019-2022
227,A Osei,530812,AJ Hosein,M,left-hand bat,slow left-arm orthodox,bowler,4,West Indies,80,fuzzy,32.0,132.0,22.0,115.78,0.0,0.0,8.0,7.0,2021-2022,29.0,44.0,28.31,4.73,35.9,2021-2022,22.0,-7.56,2021-2022
234,A Paul,677081,KMA Paul,M,right-hand bat,right-arm fast-medium,allrounder,4,West Indies,86,fuzzy,23.0,187.0,20.77,112.65,0.0,0.0,10.0,11.0,2018-2022,23.0,25.0,39.08,6.0,39.0,2018-2022,20.77,-7.22,2018-2022
236,A Perera,275487,EA Perry,F,right-hand bat,right-arm fast-medium,allrounder,2,Australia,75,fuzzy,,,,,,,,,,,,,,,,,,
256,A Sangare,505120,AC Agar,M,left-hand bat,slow left-arm orthodox,bowler,2,Australia,75,fuzzy,47.0,277.0,12.04,101.46,0.0,0.0,19.0,9.0,2016-2022,20.0,18.0,48.72,5.34,54.6,2015-2022,12.04,-10.31,2016-2022
257,A Sarma,597811,DB Sharma,F,left-hand bat,right-arm offbreak,allrounder,6,India,75,fuzzy,,,,,,,,,,,,,,,,,,
258,A Sathyan,503123,A Steyn,F,right-hand bat,right-arm medium-fast,opening batter,3,South Africa,75,fuzzy,,,,,,,,,,,,,,,,,,
262,A Scantlebury,1325398,A Scantlebury,F,right-hand bat,,middle-order batter,4,West Indies,100,exact,,,,,,,,,,,,,,,,,,
267,A Sharma,597811,DB Sharma,F,left-hand bat,right-arm offbreak,allrounder,6,India,82,fuzzy,,,,,,,,,,,,,,,,,,
270,A Shrubsole,254238,A Shrubsole,F,right-hand bat,right-arm medium,bowler,1,England,100,exact,,,,,,,,,,,,,,,,,,
277,A Steyn,503123,A Steyn,F,right-hand bat,right-arm medium-fast,opening batter,3,South Africa,100,exact,,,,,,,,,,,,,,,,,,
278,A Stocks,311158,BA Stokes,M,left-hand bat,right-arm fast-medium,allrounder,1,England,82,fuzzy,43.0,585.0,21.66,128.0,1.0,0.0,42.0,22.0,2011-2022,105.0,74.0,42.39,6.05,42.0,2011-2022,21.66,-11.25,2011-2022
281,A Sutherland,1071705,A Sutherland,F,right-hand bat,right-arm medium-fast,allrounder,2,Australia,100,exact,,,,,,,,,,,,,,,,,,
285,A Taylor,355359,SR Taylor,F,right-hand bat,right-arm offbreak,allrounder,4,West Indies,82,fuzzy,,,,,,,,,,,,,,,,,,
291,A Tripathi,446763,RA Tripathi,M,right-hand bat,right-arm medium,top-order batter,6,India,95,fuzzy,,,,,,,,,,,,,,,,,,
298,A Vaidya,709837,DP Vaidya,F,left-hand bat,legbreak googly,allrounder,6,India,82,fuzzy,,,,,,,,,,,,,,,,,,
306,A Wellington,381305,A Wellington,F,right-hand bat,legbreak,bowler,2,Australia,100,exact,,,,,,,,,,,,,,,,,,
309,A Williams,1325401,A Williams,F,right-hand bat,right-arm medium,allrounder,4,West Indies,100,exact,,,,,,,,,,,,,,,,,,
311,A Yon,364343,CA Young,M,right-hand bat,right-arm fast-medium,bowler,29,Ireland,77,fuzzy,53.0,65.0,5.9,78.31,0.0,0.0,5.0,2.0,2015-2022,36.0,59.0,26.62,5.48,29.1,2014-2022,5.9,-18.92,2015-2022
312,A Zampa,379504,A Zampa,M,right-hand bat,legbreak googly,bowler,2,Australia,100,exact,72.0,48.0,6.0,82.75,0.0,0.0,4.0,0.0,2016-2022,76.0,127.0,28.66,5.44,31.6,2016-2022,6.0,-15.71,2016-2022
319,AA Alleyne,661441,AA Alleyne,F,right-hand bat,right-arm medium,bowler,4,West Indies,100,exact,,,,,,,,,,,,,,,,,,
333,AA Patil,595783,AY Patel,M,left-hand bat,slow left-arm orthodox,bowler,5,Newziland,75,fuzzy,7.0,7.0,3.5,50.0,0.0,0.0,0.0,0.0,2018-2021,,,,,,,3.5,-7.22,2018-2021
