innings_number,overs_bowled,run_rate,extras,boundaries_total,is_first_innings,is_high_scoring_venue,team_batting_avg,team_strike_rate,team_centuries,team_fifties,team_bowling_avg,team_economy,team_wickets,team_maidens,team_batsmen,team_bowlers,team_allrounders,team_wicketkeepers,venue_avg_runs,venue_avg_rr,venue_avg_boundaries,opp_avg_runs,opp_avg_rr,opp_avg_boundaries,team_encoded,opposition_encoded,venue_encoded,city_encoded,match_outcome_encoded,team_balance,venue_advantage,total_runs
1,20.83333333333333,8.064,7,13,1,0,17.843999999999998,113.89703703703708,6.0,72.0,43.237272727272725,5.711304347826087,0.0,227.0,7,20,16,6,146.17,7.47,14.83,159.79,8.13,17.21,0,53,44,67,51,0.2592592592592592,-1.9019492385786805,168
2,20.83333333333333,8.256,13,21,0,0,15.398571428571428,106.28866666666669,0.0,51.0,48.35304347826087,6.027857142857143,0.0,135.0,12,24,15,4,146.17,7.47,14.83,140.72,7.22,15.83,53,0,44,67,51,0.3333333333333333,-1.9019492385786805,172
1,20.5,8.439024390243903,8,16,1,0,17.843999999999998,113.89703703703708,6.0,72.0,43.237272727272725,5.711304347826087,0.0,227.0,7,20,16,6,127.75,6.66,14.25,159.79,8.13,17.21,0,53,66,68,51,0.2592592592592592,-20.321949238578668,173
2,20.666666666666668,8.516129032258064,7,24,0,0,15.398571428571428,106.28866666666669,0.0,51.0,48.35304347826087,6.027857142857143,0.0,135.0,12,24,15,4,127.75,6.66,14.25,140.72,7.22,15.83,53,0,66,68,51,0.3333333333333333,-20.321949238578668,176
1,20.83333333333333,8.976,8,22,1,0,17.843999999999998,113.89703703703708,6.0,72.0,43.237272727272725,5.711304347826087,0.0,227.0,7,20,16,6,128.0,6.52,13.25,159.79,8.13,17.21,0,53,0,67,0,0.2592592592592592,-20.071949238578668,187
2,19.166666666666668,7.617391304347826,9,17,0,0,15.398571428571428,106.28866666666669,0.0,51.0,48.35304347826087,6.027857142857143,0.0,135.0,12,24,15,4,128.0,6.52,13.25,140.72,7.22,15.83,53,0,0,67,0,0.3333333333333333,-20.071949238578668,146
1,20.5,8.975609756097562,10,24,1,1,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,151.89,7.81,17.0,141.47,7.7,15.73,26,3,45,34,24,0.6,3.8180507614213184,184
2,18.0,8.11111111111111,9,19,0,1,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,151.89,7.81,17.0,142.22,7.84,17.06,3,26,45,34,24,0.6,3.8180507614213184,146
1,21.33333333333333,9.09375,10,18,1,1,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,151.89,7.81,17.0,150.67,8.17,16.73,58,30,45,34,55,0.6,3.8180507614213184,194
2,20.0,7.6,5,19,0,1,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,151.89,7.81,17.0,139.74,7.92,15.84,30,58,45,34,55,0.6,3.8180507614213184,152
1,20.166666666666668,5.702479338842975,3,11,1,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,128.29,7.47,14.43,145.15,8.19,15.1,6,63,37,25,60,0.6,-19.78194923857868,115
2,16.166666666666668,7.298969072164948,10,13,0,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,128.29,7.47,14.43,147.87,8.46,17.07,63,6,37,25,60,0.6,-19.78194923857868,118
1,20.5,6.878048780487805,9,9,1,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,145.83,7.14,11.5,139.74,7.92,15.84,3,58,10,53,55,0.6,-2.2419492385786555,141
2,20.0,7.1,12,11,0,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,145.83,7.14,11.5,141.47,7.7,15.73,58,3,10,53,55,0.6,-2.2419492385786555,142
1,21.33333333333333,8.671875,11,23,1,1,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,164.75,9.56,21.0,139.74,7.92,15.84,26,58,87,7,55,0.6,16.678050761421332,185
2,21.166666666666668,8.78740157480315,12,24,0,1,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,164.75,9.56,21.0,142.22,7.84,17.06,58,26,87,7,55,0.6,16.678050761421332,186
1,20.5,9.024390243902438,8,17,1,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,147.73,7.74,16.18,147.87,8.46,17.07,58,6,41,9,55,0.6,-0.3419492385786782,185
2,21.0,6.047619047619048,8,8,0,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,147.73,7.74,16.18,139.74,7.92,15.84,6,58,41,9,55,0.6,-0.3419492385786782,127
1,21.0,7.476190476190476,7,21,1,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,147.73,7.74,16.18,142.22,7.84,17.06,63,26,41,9,60,0.6,-0.3419492385786782,157
2,18.5,6.216216216216216,3,10,0,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,147.73,7.74,16.18,145.15,8.19,15.1,26,63,41,9,60,0.6,-0.3419492385786782,115
1,20.166666666666668,8.181818181818182,20,15,1,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,128.88,7.89,13.0,141.47,7.7,15.73,30,3,63,55,28,0.6,-19.191949238578676,165
2,6.0,11.0,3,9,0,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,128.88,7.89,13.0,150.67,8.17,16.73,3,30,63,55,28,0.6,-19.191949238578676,66
1,21.33333333333333,7.125,14,12,1,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,137.75,7.15,15.25,145.15,8.19,15.1,30,63,71,54,60,0.6,-10.321949238578668,152
2,18.666666666666668,8.196428571428571,7,17,0,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,137.75,7.15,15.25,150.67,8.17,16.73,63,30,71,54,60,0.6,-10.321949238578668,153
1,20.666666666666668,7.403225806451612,5,19,1,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,147.73,7.74,16.18,147.87,8.46,17.07,26,6,41,9,5,0.6,-0.3419492385786782,153
2,19.5,7.897435897435898,6,22,0,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,147.73,7.74,16.18,142.22,7.84,17.06,6,26,41,9,5,0.6,-0.3419492385786782,154
1,10.5,10.952380952380953,10,16,1,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,137.62,8.29,16.31,139.74,7.92,15.84,3,58,74,15,58,0.6,-10.451949238578663,115
2,1.0,7.0,1,1,0,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,137.62,8.29,16.31,141.47,7.7,15.73,58,3,74,15,58,0.6,-10.451949238578663,7
1,21.33333333333333,7.875,12,18,1,1,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,167.12,8.09,19.0,142.22,7.84,17.06,58,26,19,36,55,0.6,19.048050761421337,168
2,20.666666666666668,7.64516129032258,14,18,0,1,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,167.12,8.09,19.0,139.74,7.92,15.84,26,58,19,36,55,0.6,19.048050761421337,158
1,21.0,8.333333333333334,9,16,1,1,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,151.89,7.81,17.0,147.87,8.46,17.07,30,6,45,34,28,0.6,3.8180507614213184,175
2,20.5,8.24390243902439,9,23,0,1,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,151.89,7.81,17.0,150.67,8.17,16.73,6,30,45,34,28,0.6,3.8180507614213184,169
1,19.83333333333333,4.689075630252101,3,11,1,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,137.75,7.15,15.25,145.15,8.19,15.1,26,63,71,54,60,0.6,-10.321949238578668,93
2,12.0,7.833333333333333,11,13,0,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,137.75,7.15,15.25,142.22,7.84,17.06,63,26,71,54,60,0.6,-10.321949238578668,94
1,20.83333333333333,8.16,10,19,1,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,128.29,7.47,14.43,147.87,8.46,17.07,58,6,37,25,5,0.6,-19.78194923857868,170
2,20.0,8.55,10,20,0,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,128.29,7.47,14.43,139.74,7.92,15.84,6,58,37,25,5,0.6,-19.78194923857868,171
1,20.5,8.878048780487806,3,21,1,1,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,167.12,8.09,19.0,142.22,7.84,17.06,30,26,19,36,28,0.6,19.048050761421337,182
2,20.5,7.902439024390244,7,21,0,1,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,167.12,8.09,19.0,150.67,8.17,16.73,26,30,19,36,28,0.6,19.048050761421337,162
1,19.83333333333333,7.411764705882353,6,18,1,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,137.62,8.29,16.31,145.15,8.19,15.1,58,63,74,15,60,0.6,-10.451949238578663,147
2,20.0,7.4,7,17,0,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,137.62,8.29,16.31,139.74,7.92,15.84,63,58,74,15,60,0.6,-10.451949238578663,148
1,20.33333333333333,7.721311475409837,11,15,1,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,128.29,7.47,14.43,145.15,8.19,15.1,30,63,37,25,28,0.6,-19.78194923857868,157
2,20.33333333333333,7.475409836065574,3,19,0,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,128.29,7.47,14.43,150.67,8.17,16.73,63,30,37,25,28,0.6,-19.78194923857868,152
1,21.0,8.476190476190476,10,20,1,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,128.29,7.47,14.43,141.47,7.7,15.73,6,3,37,25,3,0.6,-19.78194923857868,178
2,19.33333333333333,9.362068965517242,11,25,0,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,128.29,7.47,14.43,147.87,8.46,17.07,3,6,37,25,3,0.6,-19.78194923857868,181
1,20.83333333333333,7.008,13,17,1,1,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,164.17,8.52,19.67,141.47,7.7,15.73,26,3,48,13,3,0.6,16.09805076142132,146
