team_batting_avg,team_strike_rate,team_bowling_avg,team_economy,team_size,venue_avg_runs,venue_runs_std,venue_matches,team_balance,venue_advantage,opposition_strength,total_wickets,balls_bowled,overs_bowled,run_rate,extras,boundaries_4s,boundaries_6s,boundaries_total,total_runs
19.1175,120.47,44.86,5.485,11,150.5,27.86,4,0.4261591618368257,1.1162790697674418,21.68125,0,125,20.83333333333333,8.064,7,9,4,13,168
18.46,131.14,30.0,7.0,11,150.5,27.86,4,0.6153333333333334,1.1428571428571428,23.090714285714284,0,125,20.83333333333333,8.256,13,20,1,21,172
23.49,133.04333333333332,50.26,5.5,11,127.75,56.41,4,0.46736967767608434,1.3542074363992171,21.68125,0,123,20.5,8.439024390243903,8,10,6,16,173
20.85,130.995,30.0,8.4,11,127.75,56.41,4,0.6950000000000001,1.3776908023483365,23.090714285714284,0,124,20.666666666666668,8.516129032258064,7,18,6,24,176
19.1175,120.47,44.86,5.485,11,128.0,51.23,4,0.4261591618368257,1.4609375,21.68125,0,125,20.83333333333333,8.976,8,14,8,22,187
22.325,126.34,38.2,7.215,11,128.0,51.23,4,0.5844240837696334,1.140625,23.090714285714284,0,115,19.166666666666668,7.617391304347826,9,12,5,17,146
34.62,144.19,30.0,7.0,11,170.0,18.43,6,1.154,1.0823529411764705,21.919999999999998,0,123,20.5,8.975609756097562,10,16,8,24,184
25.3,135.14,39.29,5.69,11,170.0,18.43,6,0.6439297531178417,0.8588235294117647,19.77775,0,108,18.0,8.11111111111111,9,13,6,19,146
13.865,100.06,26.52,6.14,11,170.0,18.43,6,0.5228129713423831,1.1411764705882352,17.17361111111111,0,128,21.33333333333333,9.09375,10,8,10,18,194
26.228,124.088,33.42,5.5440000000000005,11,170.0,18.43,6,0.7847995212447636,0.8941176470588236,22.30721212121212,0,120,20.0,7.6,5,9,10,19,152
9.93,115.5,31.54,5.73,11,136.9,44.94,10,0.3148383005707039,0.8400292184075967,19.581,0,121,20.166666666666668,5.702479338842975,3,7,4,11,115
13.0,124.035,39.25,6.305,11,136.9,44.94,10,0.33121019108280253,0.8619430241051862,19.383333333333333,0,97,16.166666666666668,7.298969072164948,10,8,5,13,118
25.3,135.14,39.29,5.69,11,141.5,0.71,2,0.6439297531178417,0.9964664310954063,22.30721212121212,0,123,20.5,6.878048780487805,9,6,3,9,141
13.865,100.06,26.52,6.14,11,141.5,0.71,2,0.5228129713423831,1.0035335689045937,21.919999999999998,0,120,20.0,7.1,12,10,1,11,142
34.62,144.19,41.33,6.52,11,185.5,0.71,2,0.837648197435277,0.9973045822102425,22.30721212121212,0,128,21.33333333333333,8.671875,11,12,11,23,185
13.865,100.06,26.52,6.14,11,185.5,0.71,2,0.5228129713423831,1.0026954177897573,19.77775,0,127,21.166666666666668,8.78740157480315,12,17,7,24,186
13.865,100.06,26.52,6.14,11,148.5,24.66,6,0.5228129713423831,1.245791245791246,19.383333333333333,0,123,20.5,9.024390243902438,8,11,6,17,185
25.0,120.0,30.0,7.0,11,148.5,24.66,6,0.8333333333333334,0.8552188552188552,22.30721212121212,0,126,21.0,6.047619047619048,8,7,1,8,127
13.0,124.035,39.25,6.305,11,148.5,24.66,6,0.33121019108280253,1.0572390572390573,19.77775,0,126,21.0,7.476190476190476,7,18,3,21,157
25.0,120.0,41.33,6.52,11,148.5,24.66,6,0.6048874909266877,0.7744107744107744,19.581,0,111,18.5,6.216216216216216,3,10,0,10,115
