match_id,team,innings_number,total_runs,total_wickets,balls_bowled,overs_bowled,run_rate,extras,boundaries_4s,boundaries_6s,boundaries_total,venue,city,date,opposition,match_outcome,player_of_match,teams,team_players,team_batting_avg,team_strike_rate,team_bowling_avg,team_economy,team_size,venue_avg_runs,venue_runs_std,venue_matches
1001349,Australia,1,168,0,125,20.833333333333332,8.064,7,9,4,13,Melbourne Cricket Ground,Unknown,2017-02-17,Sri Lanka,Sri Lanka,['DAS Gunaratne'],"['Australia', 'Sri Lanka']","['AJ Finch', 'M Klinger', 'TM Head', 'MC Henriques', 'AJ Turner', 'JP Faulkner', 'TD Paine', 'PJ Cummins', 'A Zampa', 'B Stanlake', 'AJ Tye']",19.1175,120.47,44.86,5.485,11,150.5,27.86,4
1001349,Sri Lanka,2,172,0,125,20.833333333333332,8.256,13,20,1,21,Melbourne Cricket Ground,Unknown,2017-02-17,Australia,Sri Lanka,['DAS Gunaratne'],"['Australia', 'Sri Lanka']","['N Dickwella', 'WU Tharanga', 'EMDY Munaweera', 'DAS Gunaratne', 'TAM Siriwardana', 'CK Kapugedera', 'S Prasanna', 'JRMVB Sanjaya', 'SL Malinga', 'KMDN Kulasekara', 'PADLR Sandakan']",18.46,131.14,,,11,150.5,27.86,4
1001351,Australia,1,173,0,123,20.5,8.439024390243903,8,10,6,16,"Simonds Stadium, South Geelong",Victoria,2017-02-19,Sri Lanka,Sri Lanka,['DAS Gunaratne'],"['Australia', 'Sri Lanka']","['M Klinger', 'AJ Finch', 'BR Dunk', 'MC Henriques', 'TM Head', 'AJ Turner', 'JP Faulkner', 'TD Paine', 'PJ Cummins', 'AJ Tye', 'JA Richardson']",23.49,133.04333333333332,50.26,5.5,11,127.75,56.41,4
1001351,Sri Lanka,2,176,0,124,20.666666666666668,8.516129032258064,7,18,6,24,"Simonds Stadium, South Geelong",Victoria,2017-02-19,Australia,Sri Lanka,['DAS Gunaratne'],"['Australia', 'Sri Lanka']","['N Dickwella', 'WU Tharanga', 'EMDY Munaweera', 'BKG Mendis', 'DAS Gunaratne', 'TAM Siriwardana', 'CK Kapugedera', 'S Prasanna', 'KMDN Kulasekara', 'SL Malinga', 'JRMVB Sanjaya']",20.85,130.995,,8.4,11,127.75,56.41,4
1001353,Australia,1,187,0,125,20.833333333333332,8.976,8,14,8,22,Adelaide Oval,Unknown,2017-02-22,Sri Lanka,Australia,['A Zampa'],"['Australia', 'Sri Lanka']","['AJ Finch', 'M Klinger', 'BR Dunk', 'TM Head', 'MC Henriques', 'AJ Turner', 'JP Faulkner', 'TD Paine', 'PJ Cummins', 'JA Richardson', 'A Zampa']",19.1175,120.47,44.86,5.485,11,128.0,51.23,4
1001353,Sri Lanka,2,146,0,115,19.166666666666668,7.617391304347826,9,12,5,17,Adelaide Oval,Unknown,2017-02-22,Australia,Australia,['A Zampa'],"['Australia', 'Sri Lanka']","['EMDY Munaweera', 'WU Tharanga', 'BKG Mendis', 'DAS Gunaratne', 'TAM Siriwardana', 'CK Kapugedera', 'MD Shanaka', 'S Prasanna', 'KMDN Kulasekara', 'SL Malinga', 'JRMVB Sanjaya']",22.325,126.34,38.2,7.215,11,128.0,51.23,4
1003843,Knights,1,184,0,123,20.5,8.975609756097562,10,16,8,24,"New Wanderers Stadium, Johannesburg",Johannesburg,2016-11-12,Cape Cobras,Knights,"['M de Lange', 'PE Kruger']","['Knights', 'Cape Cobras']","['RS Second', 'PE Kruger', 'DA Miller', 'PJ van Biljon', 'DS Rosier', 'TM Bodibe', 'M de Lange', 'D du Preez', 'SC van Schalkwyk', 'T Ntuli', 'LM Zuma']",34.62,144.19,,,11,170.0,18.43,6
1003843,Cape Cobras,2,146,0,108,18.0,8.11111111111111,9,13,6,19,"New Wanderers Stadium, Johannesburg",Johannesburg,2016-11-12,Knights,Knights,"['M de Lange', 'PE Kruger']","['Knights', 'Cape Cobras']","['RE Levi', 'C Tshiki', 'JF Smith', 'JL Ontong', 'KD Petersen', 'KA Pollard', 'A Mgijima', 'GF Linde', 'RK Kleinveldt', 'D Paterson', 'TL Moreki']",25.3,135.14,39.29,5.69,11,170.0,18.43,6
1003845,Titans,1,194,0,128,21.333333333333332,9.09375,10,8,10,18,"New Wanderers Stadium, Johannesburg",Johannesburg,2016-11-12,Lions,Titans,"['JA Morkel', 'HG Kuhn']","['Titans', 'Lions']","['H Davids', 'TG Mokoena', 'HG Kuhn', 'MQ Adams', 'JA Morkel', 'F Behardien', 'H Klaasen', 'D Wiese', 'MP Siboto', 'S von Berg', 'L Ngidi']",13.865,100.06,26.52,6.14,11,170.0,18.43,6
1003845,Lions,2,152,0,120,20.0,7.6,5,9,10,19,"New Wanderers Stadium, Johannesburg",Johannesburg,2016-11-12,Titans,Titans,"['JA Morkel', 'HG Kuhn']","['Titans', 'Lions']","['RR Hendricks', 'HE van der Dussen', 'DA Hendricks', 'BC Fortuin', 'PWA Mulder', 'NJ van den Bergh', 'M Mosehle', 'MK McGillivray', 'GC Viljoen', 'AM Phangiso', 'E Leie']",26.227999999999998,124.088,33.42,5.5440000000000005,11,170.0,18.43,6
1003847,Dolphins,1,115,0,121,20.166666666666668,5.702479338842975,3,7,4,11,"Kingsmead, Durban",Durban,2016-11-13,Warriors,Warriors,['ACR Birch'],"['Dolphins', 'Warriors']","['MN van Wyk', 'CS Delport', 'K Zondo', 'VB van Jaarsveld', 'K Nipper', 'C Chetty', 'AL Phehlukwayo', 'R Frylinck', 'CJ Alexander', 'Imran Tahir', 'M Shezi']",9.93,115.5,31.54,5.73,11,136.9,44.94,10
1003847,Warriors,2,118,0,97,16.166666666666668,7.298969072164948,10,8,5,13,"Kingsmead, Durban",Durban,2016-11-13,Dolphins,Warriors,['ACR Birch'],"['Dolphins', 'Warriors']","['JT Smuts', 'S Seyibokwe', 'CA Ingram', 'CN Ackermann', 'C Jonker', 'LC Ngoepe', 'C Fortuin', 'SSN Nqweni', 'ACR Birch', 'SSB Magala', 'BD Walters']",13.0,124.035,39.25,6.305,11,136.9,44.94,10
1003849,Cape Cobras,1,141,0,123,20.5,6.878048780487805,9,6,3,9,"Boland Park, Paarl",Paarl,2016-11-16,Titans,Titans,"['JA Morkel', 'CJ Dala']","['Cape Cobras', 'Titans']","['RE Levi', 'C Tshiki', 'JF Smith', 'KA Pollard', 'GF Linde', 'JL Ontong', 'RK Kleinveldt', 'KD Petersen', 'A Mgijima', 'D Paterson', 'NM Serame']",25.3,135.14,39.29,5.69,11,141.5,0.71,2
1003849,Titans,2,142,0,120,20.0,7.1,12,10,1,11,"Boland Park, Paarl",Paarl,2016-11-16,Cape Cobras,Titans,"['JA Morkel', 'CJ Dala']","['Cape Cobras', 'Titans']","['H Davids', 'H Klaasen', 'HG Kuhn', 'MQ Adams', 'F Behardien', 'JA Morkel', 'D Wiese', 'S von Berg', 'MP Siboto', 'L Ngidi', 'CJ Dala']",13.865,100.06,26.52,6.14,11,141.5,0.71,2
1003855,Knights,1,185,0,128,21.333333333333332,8.671875,11,12,11,23,"Willowmoore Park, Benoni",Benoni,2016-11-18,Titans,Titans,"['JA Morkel', 'DA Miller']","['Knights', 'Titans']","['PE Kruger', 'LLL Sesele', 'PJ van Biljon', 'DA Miller', 'DS Rosier', 'TM Bodibe', 'M de Lange', 'D du Preez', 'SC van Schalkwyk', 'D Olivier', 'T Ntuli']",34.62,144.19,41.33,6.52,11,185.5,0.71,2
1003855,Titans,2,186,0,127,21.166666666666668,8.78740157480315,12,17,7,24,"Willowmoore Park, Benoni",Benoni,2016-11-18,Knights,Titans,"['JA Morkel', 'DA Miller']","['Knights', 'Titans']","['H Klaasen', 'TG Mokoena', 'HG Kuhn', 'MQ Adams', 'F Behardien', 'JA Morkel', 'D Wiese', 'S von Berg', 'MP Siboto', 'CJ Dala', 'L Ngidi']",13.865,100.06,26.52,6.14,11,185.5,0.71,2
1003857,Titans,1,185,0,123,20.5,9.024390243902438,8,11,6,17,"Mangaung Oval, Bloemfontein",Bloemfontein,2016-11-20,Dolphins,Titans,"['F Behardien', 'S von Berg']","['Titans', 'Dolphins']","['JD Vandiar', 'TG Mokoena', 'H Klaasen', 'HG Kuhn', 'F Behardien', 'D Wiese', 'JA Morkel', 'MP Siboto', 'S von Berg', 'CJ Dala', 'L Ngidi']",13.865,100.06,26.52,6.14,11,148.5,24.66,6
1003857,Dolphins,2,127,0,126,21.0,6.0476190476190474,8,7,1,8,"Mangaung Oval, Bloemfontein",Bloemfontein,2016-11-20,Titans,Titans,"['F Behardien', 'S von Berg']","['Titans', 'Dolphins']","['CS Delport', 'MN van Wyk', 'KP Pietersen', 'K Nipper', 'R Frylinck', 'K Zondo', 'P Subrayen', 'C Chetty', 'M Gqadushe', 'Imran Tahir', 'M Shezi']",,,,,11,148.5,24.66,6
1003859,Warriors,1,157,0,126,21.0,7.476190476190476,7,18,3,21,"Mangaung Oval, Bloemfontein",Bloemfontein,2016-11-20,Knights,Warriors,"['C Jonker', 'BD Walters']","['Warriors', 'Knights']","['JT Smuts', 'S Seyibokwe', 'CA Ingram', 'CN Ackermann', 'C Jonker', 'LC Ngoepe', 'C Fortuin', 'ACR Birch', 'SSB Magala', 'SSN Nqweni', 'BD Walters']",13.0,124.035,39.25,6.305,11,148.5,24.66,6
1003859,Knights,2,115,0,111,18.5,6.216216216216216,3,10,0,10,"Mangaung Oval, Bloemfontein",Bloemfontein,2016-11-20,Warriors,Warriors,"['C Jonker', 'BD Walters']","['Warriors', 'Knights']","['LLL Sesele', 'PE Kruger', 'PJ van Biljon', 'RS Second', 'DS Rosier', 'P Botha', 'TM Bodibe', 'M de Lange', 'SC van Schalkwyk', 'D Olivier', 'M Budaza']",,,41.33,6.52,11,148.5,24.66,6
1003861,Lions,1,165,0,121,20.166666666666668,8.181818181818182,20,9,6,15,"Senwes Park, Potchefstroom",Potchefstroom,2016-11-20,Cape Cobras,Lions,"['AM Phangiso', 'M Mosehle']","['Lions', 'Cape Cobras']","['DA Hendricks', 'HE van der Dussen', 'OA Ramela', 'M Mosehle', 'DP Conway', 'NJ van den Bergh', 'PWA Mulder', 'GC Viljoen', 'AM Phangiso', 'Z Pongolo', 'E Leie']",34.254999999999995,125.08250000000001,28.03333333333333,5.16,11,117.0,40.8,4
1003861,Cape Cobras,2,66,0,36,6.0,11.0,3,6,3,9,"Senwes Park, Potchefstroom",Potchefstroom,2016-11-20,Lions,Lions,"['AM Phangiso', 'M Mosehle']","['Lions', 'Cape Cobras']","['RE Levi', 'WD Parnell', 'KA Pollard', 'GF Linde', 'KD Petersen', 'A Mgijima', 'JF Smith', 'D Paterson', 'RK Kleinveldt', 'NM Serame', 'C Tshiki']",23.15,116.405,34.845,5.645,11,117.0,40.8,4
1003865,Lions,1,152,0,128,21.333333333333332,7.125,14,8,4,12,"St George's Park, Port Elizabeth",Port Elizabeth,2016-11-25,Warriors,Warriors,"['C Jonker', 'JT Smuts']","['Lions', 'Warriors']","['DA Hendricks', 'HE van der Dussen', 'M Mosehle', 'DP Conway', 'NJ van den Bergh', 'PWA Mulder', 'GC Viljoen', 'OA Ramela', 'AM Phangiso', 'Z Pongolo', 'E Leie']",34.254999999999995,125.08250000000001,28.03333333333333,5.16,11,127.67,27.37,6
1003865,Warriors,2,153,0,112,18.666666666666668,8.196428571428571,7,10,7,17,"St George's Park, Port Elizabeth",Port Elizabeth,2016-11-25,Lions,Warriors,"['C Jonker', 'JT Smuts']","['Lions', 'Warriors']","['JT Smuts', 'S Seyibokwe', 'DJ White', 'CN Ackermann', 'C Jonker', 'LC Ngoepe', 'C Fortuin', 'SSB Magala', 'SSN Nqweni', 'ACR Birch', 'BD Walters']",13.0,124.035,39.25,6.305,11,127.67,27.37,6
1003867,Knights,1,153,0,124,20.666666666666668,7.403225806451612,5,18,1,19,"Mangaung Oval, Bloemfontein",Bloemfontein,2016-11-25,Dolphins,Dolphins,[],"['Knights', 'Dolphins']","['PE Kruger', 'AGS Gous', 'TB de Bruyn', 'P Botha', 'LLL Sesele', 'DS Rosier', 'TM Bodibe', 'M de Lange', 'SC van Schalkwyk', 'D Olivier', 'M Budaza']",13.0,162.5,41.33,6.52,11,148.5,24.66,6
1003867,Dolphins,2,154,0,117,19.5,7.897435897435898,6,21,1,22,"Mangaung Oval, Bloemfontein",Bloemfontein,2016-11-25,Knights,Dolphins,[],"['Knights', 'Dolphins']","['MN van Wyk', 'CS Delport', 'C Chetty', 'K Zondo', 'VB van Jaarsveld', 'K Nipper', 'R Frylinck', 'M Gqadushe', 'RJ Engelbrecht', 'M Shezi', 'Imran Tahir']",,,,,11,148.5,24.66,6
1003869,Cape Cobras,1,115,0,63,10.5,10.952380952380953,10,8,8,16,"SuperSport Park, Centurion",Centurion,2016-11-25,Titans,Unknown,[],"['Cape Cobras', 'Titans']","['RE Levi', 'WD Parnell', 'KA Pollard', 'RK Kleinveldt', 'JL Ontong', 'KD Petersen', 'A Mgijima', 'D Paterson', 'C Tshiki', 'BE Hendricks', 'NM Serame']",25.373333333333335,119.40666666666668,38.89666666666667,6.0,11,141.88,64.08,8
